 	mi	sono	vestito	</S>
a39	0.13613474	0.0955164	0.51021934	0.2581295
a11	0.7862615	0.1294965	0.05102183	0.033220172
a13	0.9459087	0.021489058	0.030147303	0.002454825
a18	0.772464	0.10920384	0.07873416	0.03959809
a31	0.32504135	0.30617097	0.2740842	0.09470345
a37	0.30600134	0.0890749	0.22721532	0.37770844
a15	0.9159944	0.054138407	0.010620949	0.019246254
a31	0.6565471	0.13502026	0.08366315	0.12476952
a46	0.68942213	0.048532978	0.13461791	0.12742694
a31	0.26399362	0.07108261	0.2076521	0.45727164
a20	0.117213055	0.09377035	0.153654	0.6353627
a31	0.4046658	0.18543991	0.17868276	0.23121151
</S>	0.13823824	0.5929078	0.13135149	0.13750246
