 	che	vende	buon	pane	</S>
a17	0.49098262	0.06549226	0.25936702	0.04658202	0.13757603
a31	0.014240797	0.04707656	0.73320794	0.17782138	0.027653327
a11	0.01974982	0.0006227573	0.23773344	0.7418738	2.0256299e-05
a39	0.012106701	0.0004574811	0.9828839	0.004537697	1.4336643e-05
a35	0.7106098	0.11330766	0.07966794	0.08275927	0.013655338
a39	0.7988856	0.021118889	0.043843187	0.08545714	0.05069531
a31	0.37751377	0.0196612	0.023829745	0.11111413	0.46788114
a24	0.30657896	0.5421485	0.052738782	0.05474936	0.043784413
a18	0.77649707	0.11431638	0.029710954	0.02096808	0.05850749
a31	0.21752009	0.1766993	0.081027	0.073222876	0.4515308
a13	0.18757646	0.28201777	0.23587747	0.15742736	0.13710096
a31	0.4152822	0.22029781	0.123490825	0.11803101	0.12289822
a46	0.1922068	0.22422615	0.23374383	0.18660545	0.16321777
a8	0.23308803	0.21435389	0.18581095	0.18597546	0.18077177
</S>	0.22964612	0.20747311	0.18765669	0.1882615	0.18696253
