 	non	sapeva	dove	a	stare	</S>
a20	0.04633071	0.28499687	0.52605844	0.04123144	0.044356115	0.05702645
a31	0.018514114	0.12531637	0.31092256	0.03399692	0.35454264	0.1567074
a37	0.056563865	0.005399738	0.6637137	0.0054468596	0.26887187	3.961365e-06
a38	0.014296448	0.0018130353	0.054138314	0.0060978895	0.90233755	0.021316733
a31	0.11461704	0.016622687	0.7260814	0.03920385	0.085657254	0.017817797
a41	0.53118664	0.039792746	0.20923011	0.020252017	0.14247517	0.057063356
a10	0.31403983	0.039412394	0.30462846	0.037414145	0.22178365	0.08272155
a20	0.065626	0.014111708	0.25569105	0.08261742	0.5061616	0.075792246
a9	0.019916704	0.037754264	0.15705732	0.11082593	0.15620826	0.51823753
</S>	0.40477034	0.06688377	0.13597888	0.109577656	0.23099351	0.051795878
