 	tu	quante	bottiglie	hai	rotto	dieci	</S>
a21	0.03261663	0.06463522	0.02199048	0.026986295	0.03213939	0.6656157	0.15601625
a20	0.006360834	0.072501436	0.57285464	0.051924996	0.0007297362	0.07463699	0.22099134
a35	0.002654685	0.69846857	0.16715656	0.0031963917	1.3133287e-05	0.12701438	0.0014961398
a20	0.0026678364	0.24778172	0.67430323	0.022690786	0.0014450391	0.02955429	0.021557102
a38	0.045820072	0.104468405	0.75310457	0.008607243	0.028671114	0.048275005	0.011053531
a31	0.2355605	0.14379817	0.4183872	0.027661616	0.054250315	0.07931927	0.041022874
a18	5.2472886e-05	0.48251677	0.5170206	9.4447416e-05	1.1275365e-06	0.00031261312	2.11243e-06
a23	0.054493293	0.11761159	0.41963848	0.11006729	0.028102795	0.094562165	0.17552443
a24	0.029258123	0.28426298	0.6346556	0.008294348	0.0066808974	0.017766202	0.019081904
a37	0.12742509	0.15755981	0.38126734	0.11596601	0.06858896	0.09851016	0.050682627
a20	0.11880099	0.14154838	0.31354713	0.10323183	0.09763025	0.17132567	0.053915717
a31	0.15801692	0.12966447	0.25763875	0.17037588	0.09679243	0.1270489	0.060462654
a20	0.0009173668	0.50559753	0.48921683	0.0020529346	0.0004929247	0.0015733101	0.00014914117
a33	0.04317589	0.041530088	0.10285208	0.06474167	0.14686558	0.22787112	0.37296358
a31	0.050684683	0.035411697	0.030100213	0.09204106	0.30354136	0.269756	0.21846506
a20	0.004575745	0.32341394	0.60781157	0.013583227	0.007559483	0.02512679	0.01792921
a31	0.056886263	0.048910305	0.15007216	0.073650986	0.260868	0.15803836	0.25157392
a20	0.058666505	0.11733911	0.38391033	0.03241949	0.04703173	0.07616841	0.2844644
a31	0.08659781	0.08316235	0.17316926	0.09314027	0.25714448	0.12892777	0.17785805
</S>	0.35425687	0.20130622	0.07741279	0.04999614	0.1598879	0.044515267	0.11262486
