 	sono	stato	sempre	poveretti	</S>
a20	0.11952209	0.11536893	0.5627013	0.087799534	0.1146081
a4	0.032185104	0.036141746	0.11418186	0.76391524	0.053576145
a31	0.24871197	0.11015882	0.1799095	0.39735097	0.06386869
a38	0.02238111	0.0037384648	0.042641815	0.9283124	0.002926178
a31	0.014556893	0.05873874	0.4023644	0.20583843	0.31850156
a7	0.03733689	0.05776611	0.24588461	0.50082475	0.15818763
a31	0.105606094	0.073599264	0.24899922	0.38107547	0.19071999
a21	0.051265318	0.021601697	0.048855238	0.75743014	0.12084755
a20	0.054205664	0.024789793	0.1153197	0.5665397	0.23914516
a8	0.055575684	0.019888613	0.030575885	0.48946896	0.40449083
a31	0.3227328	0.049814492	0.03720955	0.38792995	0.20231323
a33	0.033258952	0.0042648944	0.011295766	0.9013306	0.049849857
a20	0.2050319	0.10049645	0.15665744	0.18879634	0.3490179
a31	0.10174232	0.08041943	0.10889344	0.146564	0.56238085
a7	0.061115988	0.020838851	0.15523982	0.6311778	0.13162749
a31	0.31282753	0.10243256	0.08031716	0.24904089	0.2553818
a11	0.34159717	0.1288913	0.22188674	0.10935483	0.19826998
a31	0.35006556	0.13504831	0.12699348	0.2092084	0.17868418
a13	0.317178	0.19316834	0.20284104	0.07357507	0.21323751
a18	0.26822665	0.17217986	0.16937117	0.20587473	0.18434754
a31	0.24833667	0.1773415	0.17684633	0.20145507	0.19602041
</S>	0.2741809	0.2333236	0.1930145	0.06885072	0.23063037
