 	non	mi	aspetti	che	non	vengo	</S>
a8	0.040999178	0.023044342	0.022507729	0.027533792	0.034066617	0.44706783	0.40478054
a31	0.039106246	0.40237924	0.07703577	0.2250334	0.13244078	0.03644766	0.08755684
a24	5.8781487e-05	0.017909989	0.010816614	0.28721836	0.0111245625	0.67286706	4.622997e-06
a31	0.013013539	0.06726188	0.12725662	0.68778163	0.02039988	0.08413254	0.00015398108
a36	0.34385842	0.095726565	0.04301743	0.04326308	0.15791705	0.24582963	0.07038779
a31	0.3613479	0.123422556	0.032853805	0.031428766	0.10584281	0.2692197	0.075884424
a39	0.060323145	0.29352525	0.19393602	0.36923453	0.07094936	0.010399934	0.0016317551
a8	0.20949803	0.061469845	0.096390374	0.1430467	0.2302945	0.11137589	0.14792469
a31	0.15049239	0.035193715	0.091432974	0.095109165	0.36597228	0.11013261	0.15166691
a29	0.11247922	0.025910491	0.022374146	0.028145857	0.15735552	0.25899783	0.394737
a31	0.24338436	0.10772671	0.20850115	0.23109013	0.090774864	0.042690665	0.07583222
a17	0.035663076	0.024285851	0.036898736	0.071148194	0.18205479	0.20163548	0.44831392
</S>	0.24812403	0.13882412	0.13944218	0.14315194	0.11602	0.10674144	0.107696265
