 	è	che	stanno	ancora	alzati	</S>
a20	0.13455404	0.12438804	0.18467283	0.056144096	0.32371676	0.17652419
a31	0.027888859	0.04023339	0.6601022	0.10329832	0.11577616	0.052701112
a20	0.00042770876	0.02924787	0.22058353	0.048375614	0.7013554	9.937017e-06
a31	0.0013820954	0.003953911	0.12327008	0.010199995	0.7148842	0.14630973
a20	0.00092022144	0.003161194	0.059768874	0.02732374	0.80877775	0.10004827
a28	0.003602975	0.009949822	0.12702481	0.032409683	0.7487271	0.0782856
a31	0.0065380773	0.009951936	0.036039144	0.024168048	0.42742908	0.4958737
a29	0.017768338	0.064672746	0.51038736	0.13894178	0.26342842	0.004801367
a46	0.21796638	0.14749804	0.29637232	0.08927322	0.08718376	0.16170627
a31	0.20978935	0.092513666	0.11122082	0.02668284	0.10601647	0.4537768
a20	0.014866992	0.06715758	0.43905902	0.08424845	0.38120434	0.013463628
a31	0.3058483	0.14560062	0.21259974	0.11206724	0.16626813	0.057616014
a39	0.081535764	0.25564837	0.30635878	0.08282118	0.20563325	0.06800273
a20	0.28144944	0.13035597	0.14736064	0.10006012	0.27600992	0.06476393
a8	0.2858121	0.10385483	0.13037002	0.101931795	0.29823047	0.07980083
a20	0.2388942	0.1294811	0.14394549	0.12590256	0.24772601	0.114050664
a24	0.18307675	0.12729363	0.1499877	0.117340654	0.320829	0.101472236
a46	0.18462335	0.15805684	0.1711713	0.11063312	0.3038785	0.07163695
a8	0.14983965	0.14258039	0.15336315	0.09558164	0.37924603	0.079389125
a23	0.13672303	0.1351353	0.1418704	0.10282317	0.38986966	0.09357835
a8	0.1358352	0.13525298	0.13938889	0.115058206	0.36399463	0.110470094
</S>	0.14021546	0.1399739	0.14289153	0.12537299	0.32947382	0.12207227
