 	mio	padre	ha	lavorato	sempre	</S>
a23	0.034179505	0.005884031	0.05808477	0.1030612	0.5089112	0.2898793
a31	0.21135323	0.010925837	0.24605429	0.24422634	0.05671897	0.23072134
a37	0.0059014303	0.0019365774	0.89132696	0.09877345	0.002057366	4.1341214e-06
a31	0.006478185	0.00086674263	0.7156941	0.24136825	0.03400861	0.0015840856
a37	0.24164729	0.24892053	0.29879722	0.10443972	0.061463382	0.044731855
a3	0.059247524	0.015881572	0.49983835	0.22225165	0.1406272	0.06215373
a31	0.2652304	0.0907112	0.5304236	0.06297539	0.0253797	0.025279788
a3	0.4543411	0.18868867	0.22686128	0.055150848	0.042196676	0.032761294
a44	0.19161667	0.029009301	0.026929652	0.06059184	0.31384385	0.37800872
a31	0.14629222	0.038512055	0.042854615	0.07078251	0.18114881	0.5204098
a8	0.2519753	0.34008998	0.22094858	0.104466304	0.04150456	0.041015226
a31	0.17985828	0.16518077	0.1631026	0.16228803	0.16448407	0.16508627
</S>	0.253096	0.29732487	0.23398179	0.13976409	0.047160417	0.028672738
