 	il	morto	vuole	pianto	</S>
a31	0.27864003	0.3053685	0.03348676	0.11758328	0.26492143
a28	0.25126094	0.30273998	0.0271455	0.13590921	0.28294432
a17	0.03481566	0.3337497	0.5911335	0.029031554	0.011269592
a31	0.13617848	0.2128099	0.3439234	0.14765942	0.15942876
a20	0.21033196	0.5180735	0.2224686	0.025897969	0.02322792
a0	0.46885377	0.48667836	0.014318711	0.019552628	0.01059655
a31	0.47763768	0.4371357	0.04769055	0.025300063	0.012236062
a13	0.22090457	0.4906173	0.17677878	0.058129348	0.053569965
a6	0.26941913	0.6242308	0.027372593	0.028530117	0.050447408
a31	0.22549857	0.58983934	0.02886888	0.07036113	0.08543205
a46	0.15570301	0.66319937	0.028637387	0.044185575	0.10827465
a37	0.28143695	0.40855843	0.10195129	0.106741175	0.101312175
a31	0.18515815	0.48575252	0.08685375	0.10287496	0.1393606
a46	0.18500951	0.47765824	0.054878253	0.05966416	0.22278981
a31	0.24163008	0.2734536	0.16295245	0.16229674	0.15966722
a46	0.3271675	0.17422627	0.115001135	0.067379236	0.31622583
a8	0.23208147	0.24647242	0.17587094	0.17220174	0.17337333
a31	0.20475535	0.21496603	0.19112182	0.19199175	0.19716498
a8	0.27665833	0.15210107	0.16142261	0.11650855	0.29330945
</S>	0.20991401	0.2139795	0.1921179	0.19106582	0.19292282
