 	vengono	vestiti	dai	genitori	</S>
a31	0.56597686	0.04565035	0.036738083	0.31134534	0.04028937
a46	0.27271485	0.70759654	0.012529566	0.0037071675	0.0034518568
a18	0.10840745	0.7671787	0.015907085	0.00142525	0.107081495
a31	0.7508875	0.22624044	0.016035577	0.0024547537	0.0043816552
a11	0.71320415	0.17330348	0.080913134	0.020012073	0.012567107
a31	0.92059016	0.020805396	0.008791111	0.02985202	0.019961316
a39	0.5200745	0.27691314	0.09608106	0.08843572	0.0184956
a31	0.8115747	0.07700307	0.021047613	0.06280565	0.027568903
a35	0.6404906	0.20315447	0.059729304	0.060472347	0.036153242
a31	0.36263132	0.25775203	0.0945349	0.24414597	0.040935818
a18	0.38595915	0.36778286	0.09907752	0.085393384	0.061787095
a0	0.16203737	0.2894872	0.15437108	0.35765722	0.03644706
a31	0.33074602	0.31035116	0.09255743	0.16631906	0.10002635
a37	0.05480591	0.23048593	0.30190605	0.344187	0.06861508
a20	0.09797739	0.17419183	0.20425656	0.48557982	0.0379944
a31	0.17823274	0.18517442	0.16880596	0.35930735	0.10847954
a41	0.014281045	0.09197426	0.38523117	0.43638343	0.07213003
a20	0.0644798	0.1514571	0.24616289	0.5048681	0.033032075
a31	0.12758839	0.13404371	0.1900757	0.43825087	0.11004137
a20	0.010743142	0.058676798	0.39650965	0.46079165	0.07327867
a39	0.04529785	0.14412329	0.2812067	0.49543545	0.03393681
a46	0.14240189	0.1540366	0.18078429	0.39171708	0.13106021
a41	0.19368367	0.19369069	0.196147	0.22902445	0.18745415
</S>	0.19553895	0.19814828	0.1932288	0.22264181	0.19044216
