 	era	molto	stanco	</S>
a46	0.3663675	0.15682133	0.2552954	0.22151573
a8	0.0320246	0.49035266	0.3364563	0.14116642
a37	0.62228084	0.16239423	0.2059387	0.0093862945
a31	0.0012599789	0.050380763	0.7695724	0.17878687
a0	0.0013505335	0.060884982	0.9306696	0.007094855
a20	0.18393987	0.18021467	0.46990496	0.1659405
a31	0.4301356	0.20990142	0.15964347	0.20031951
a39	0.2729632	0.40043634	0.2969641	0.029636333
a41	0.38838342	0.13801986	0.08822847	0.38536835
a31	0.31274202	0.06651122	0.09199887	0.5287479
a28	0.16418198	0.38262096	0.27976814	0.17342894
a11	0.54564905	0.14507209	0.16495357	0.14432527
a20	0.47295803	0.15869328	0.19202328	0.17632546
a31	0.4759509	0.16856097	0.18758945	0.16789867
a11	0.113356225	0.40803942	0.3688889	0.109715536
</S>	0.30352828	0.23219424	0.2338757	0.23040181
