 	Marika	tu	hai	mangiato	</S>
a8	0.013684437	0.014974504	0.042911533	0.86963093	0.058798615
a31	0.01876696	0.06815516	0.012871272	0.58577776	0.31442878
a24	0.00026794247	0.004068055	0.010150474	0.98548824	2.5247087e-05
a31	0.0008066025	0.0023533239	0.048585344	0.9481273	0.00012737329
a28	0.11568821	0.044603825	0.11424373	0.41075316	0.3147111
a31	0.08682496	0.2003413	0.1502582	0.42894807	0.1336275
a3	0.16412959	0.13544068	0.112151995	0.1565659	0.43171182
a18	0.05189261	0.23314703	0.25643238	0.3976713	0.060856644
a31	0.08125116	0.14543718	0.14578795	0.41139132	0.21613236
a23	0.05728622	0.1250311	0.19155908	0.26996082	0.3561628
a31	0.22322792	0.13328175	0.05361293	0.18083824	0.40903914
a20	0.08394914	0.3000171	0.2338524	0.12309037	0.25909105
</S>	0.33375475	0.16934721	0.14963265	0.18228596	0.16497937
