 	hai	già	mangiato	</S>
a38	0.0065822178	0.004676162	0.9344046	0.054337025
a31	0.3288612	0.13011892	0.31251138	0.22850852
a20	0.47572115	0.14712256	0.3770215	0.00013473425
a31	0.1710405	0.21919662	0.5739341	0.035828825
a27	0.18593022	0.788765	0.009338781	0.01596598
a31	0.06632567	0.0696185	0.8463849	0.017670937
a20	0.35854307	0.53265005	0.026360333	0.08244651
a31	0.41278848	0.09841627	0.28800958	0.20078564
a39	0.45234546	0.07524194	0.25590372	0.2165089
a20	0.19203238	0.03608643	0.6619121	0.1099691
a10	0.10253447	0.04390339	0.7905788	0.0629833
</S>	0.25557584	0.13465844	0.4730485	0.1367172
