 	da	da	un	famoso	poeta	</S>
a31	0.13615634	0.13133246	0.23852012	0.11761703	0.10014409	0.27622995
a37	0.081745505	0.0344009	0.69532996	0.050226778	0.093017876	0.045278937
a31	0.017956262	0.03971257	0.61927164	0.020565184	0.23878466	0.063709676
a28	0.009615656	0.009901919	0.8948822	0.02133608	0.03424368	0.03002042
a31	0.02888805	0.16308518	0.6779441	0.040768802	0.08404446	0.005269396
a20	0.44103262	0.40913478	0.10334086	0.0031569689	0.028404292	0.014930544
a13	0.671331	0.20147403	0.07001362	0.0078102523	0.009896557	0.039474677
a39	0.720572	0.15794484	0.05374982	0.010969161	0.015449123	0.041315068
a31	0.44796348	0.099973805	0.09617761	0.051178917	0.041906998	0.26279923
a35	0.17211528	0.26562724	0.07625865	0.06270258	0.37281603	0.050480288
a31	0.37332323	0.15444648	0.08699396	0.20120119	0.1010702	0.08296494
a17	0.182173	0.20317131	0.08729777	0.115635976	0.3151993	0.09652261
a31	0.19387352	0.16372281	0.15579453	0.17397746	0.15886003	0.15377167
</S>	0.17227311	0.19560757	0.09980163	0.15123111	0.23400314	0.14708343
