 	il	cibo	vuole	mangiato	appena	lo	cucini	che	è	più	saporito	</S>
a8	0.032909483	0.0118813	0.028710185	0.04858477	0.014955083	0.023876967	0.026572034	0.6813481	0.079374164	0.0040182252	0.028946621	0.018823031
a3	0.069658354	0.8546302	0.059730466	0.008919423	0.0012948798	0.002915078	0.0013018224	0.00034173418	3.0490215e-05	3.1406762e-05	2.0080974e-05	0.0011259996
a31	0.03689865	0.16578498	0.01373244	0.026183052	0.0058735493	0.73124766	0.013631627	0.0036773086	6.772978e-05	0.00029231637	0.000100440266	0.0025101928
a7	0.0793204	0.039152194	0.009917807	0.042362835	0.00019463741	0.8060172	0.018189931	0.004786464	5.3921172e-05	1.6502537e-06	2.47448e-07	2.7250646e-06
a20	0.048264083	0.092852056	0.2697558	0.33010364	0.032820497	0.16471367	0.051821053	0.0024918646	0.0013567231	0.002544271	0.0017298658	0.0015465154
a24	0.014617042	0.02721043	0.08765818	0.7751098	0.01570077	0.034733187	0.039378997	0.002565235	0.0008259065	0.0007385178	0.00068127	0.0007806807
a31	0.12056222	0.073579594	0.23513135	0.16547154	0.21659084	0.1271379	0.0077886377	0.0149495425	0.010858187	0.010154976	0.008588362	0.00918689
a20	0.07802665	0.15523586	0.09513453	0.59505856	0.0027803045	0.040935174	0.026790163	0.0052892547	0.00058099494	4.7005666e-05	6.9980842e-06	0.00011459621
a31	0.09357273	0.09957631	0.22382332	0.059651133	0.022294506	0.39737228	0.006064805	0.0067986106	0.03922402	0.015773496	0.031651154	0.0041976916
a28	0.03462606	0.039024204	0.05888232	0.04224467	0.015553578	0.7940673	0.0076469793	0.001194432	0.0032440112	0.0012333398	0.0015054147	0.0007776729
a31	0.15388936	0.16307522	0.18519174	0.023465132	0.02180439	0.26712635	0.003825423	0.010087474	0.078511335	0.023546956	0.062758714	0.006717887
a3	0.07757547	0.08056962	0.11191543	0.43712154	0.017840095	0.2135472	0.03449469	0.0019884675	0.007924999	0.0045044147	0.00982885	0.0026891597
a31	0.19547582	0.21965112	0.07472128	0.025539372	0.009399317	0.058575615	0.0016716088	0.024330594	0.24749513	0.008177147	0.11041571	0.024547204
a35	0.08611731	0.14534244	0.33198157	0.18321703	0.022034436	0.05835586	0.042865247	0.007835414	0.017552312	0.01581177	0.07488526	0.014001346
a31	0.2844457	0.18658961	0.067580596	0.17742535	0.009051838	0.034967653	0.0051973592	0.055720642	0.07118844	0.018393861	0.047595978	0.041842982
a20	0.06334746	0.14187838	0.30984536	0.16837423	0.012392135	0.009912601	0.024984624	0.03612508	0.02340387	0.011565356	0.115904704	0.08226621
a0	0.27590525	0.20157112	0.08648557	0.25754306	0.013070948	0.029675087	0.012059289	0.022659263	0.026042873	0.025486553	0.030170932	0.019330066
a31	0.16163409	0.15683992	0.054740816	0.10450582	0.023890192	0.023765892	0.017685784	0.18211943	0.059350934	0.036806524	0.050679922	0.1279807
a38	0.112886235	0.14940485	0.0981832	0.17261821	0.011096658	0.011906453	0.025838127	0.06881408	0.017319657	0.036665644	0.12062466	0.17464231
a8	0.21886995	0.24504653	0.08460912	0.15019503	0.03225064	0.040589396	0.032868665	0.036730923	0.039566044	0.041100293	0.0429591	0.035214268
a31	0.11334467	0.11929574	0.06758638	0.09561815	0.05384079	0.05272243	0.05063125	0.14492664	0.069127806	0.059626456	0.0647239	0.1085558
a46	0.10792583	0.13547523	0.054337498	0.08401586	0.020161884	0.021373808	0.03212851	0.042791203	0.023805082	0.096179985	0.23028941	0.15151568
a31	0.12480903	0.14669538	0.08368485	0.09835634	0.065846555	0.06928764	0.066250056	0.06884949	0.07018908	0.06814881	0.070136756	0.06774601
</S>	0.08098218	0.09463749	0.04320425	0.064095415	0.021686623	0.023487011	0.036104288	0.030728867	0.02468616	0.14027765	0.27671152	0.16339858
