 	le	melanzane	vogliono	girate	</S>
a31	0.16201395	0.08429529	0.08930943	0.14103669	0.5233447
a35	0.82681495	0.11328105	0.008958299	0.011478421	0.03946733
a41	0.2988918	0.29887798	0.080445446	0.29017228	0.031612467
a10	0.17394227	0.3206833	0.18334822	0.25393018	0.06809605
a18	0.44879606	0.38085705	0.1417313	0.021411167	0.0072044255
a35	0.73132557	0.15794817	0.07103155	0.023844015	0.015850702
a31	0.6322748	0.13154039	0.11260263	0.079807326	0.04377487
a34	0.4035976	0.49759242	0.06398326	0.022390345	0.012436364
a8	0.27899358	0.20115633	0.15025535	0.069062084	0.30053264
a31	0.23302776	0.104614176	0.20540637	0.21851929	0.2384324
a8	0.16358241	0.110110335	0.07470901	0.121878244	0.52972
</S>	0.30021325	0.32513958	0.16926871	0.073626995	0.13175143
