 	ogni	giorno	bisogna	che	compriamo	il	pane	</S>
a20	0.107403584	0.027519936	0.21101765	0.24415761	0.08982279	0.017897729	0.036009263	0.26617143
a0	0.038339727	0.077758774	0.75374043	0.0111526195	0.0017217677	0.060335614	0.031985812	0.024965202
a28	0.0060558664	0.011302104	0.9678559	0.0032071557	0.00034086008	0.0042199423	0.00484068	0.002177548
a31	0.02234961	0.1908365	0.33959243	0.008157469	0.0041420055	0.026759481	0.26662147	0.14154099
a24	1.4872239e-05	0.00055178476	0.97422653	0.014381008	0.00022002531	0.0032637105	0.007203603	0.00013837732
a46	0.3200525	0.1756153	0.060537722	0.11595071	0.13942778	0.12544437	0.022628026	0.040343627
a31	0.054580063	0.08173179	0.105869405	0.107884526	0.35683644	0.119374916	0.075009674	0.09871314
a24	0.004135371	0.026944464	0.36846828	0.12919012	0.2196075	0.24104472	0.010236392	0.0003731394
a31	0.24572687	0.13655673	0.02522776	0.10413179	0.40866247	0.05308391	0.011691276	0.014919183
a20	0.003119082	0.0028700535	0.08961899	0.10017696	0.72023416	0.08267765	0.0012414486	6.168142e-05
a29	0.20817198	0.10058526	0.048488036	0.10366937	0.44059795	0.06769637	0.0074576554	0.023333384
a20	0.12013174	0.07915017	0.03486504	0.17225777	0.5183451	0.054768182	0.008760368	0.011721574
a29	0.04372918	0.03573874	0.006605916	0.05629855	0.8409	0.00910989	0.0030355193	0.0045821555
a13	0.1172379	0.07081617	0.00900354	0.060072474	0.7093909	0.015834983	0.006696301	0.010947755
a17	0.07674619	0.034180075	0.00644378	0.038488377	0.8018451	0.011538928	0.0107737165	0.019983891
a31	0.07130513	0.025145682	0.020439941	0.08634589	0.70777935	0.02396646	0.017671961	0.047345508
a44	0.0022877075	0.0050777565	0.02399099	0.025904354	0.9314013	0.006933458	0.0020352842	0.0023692125
a8	0.03707657	0.020233527	0.019207427	0.054740872	0.849255	0.012937927	0.0046275593	0.0019210421
a6	0.06705628	0.026697425	0.059827715	0.11891582	0.6495776	0.027692813	0.027595375	0.02263686
</S>	0.09504015	0.040025283	0.100933984	0.16796657	0.44785193	0.045537226	0.050427325	0.05221755
