 	hai	già	mangiato	</S>
a31	0.0065822178	0.004676162	0.9344046	0.054337025
a37	0.5655206	0.0772036	0.17814998	0.17912582
a31	0.043445326	0.068610914	0.38190928	0.5060345
a46	0.33962837	0.5947402	0.049541295	0.01609013
a31	0.110370636	0.07131264	0.7920031	0.02631356
a39	0.3202611	0.06729164	0.3972811	0.21516617
a20	0.6493192	0.044900373	0.1537117	0.15206878
a31	0.3119756	0.0892076	0.31315425	0.28566256
a46	0.55458695	0.22212023	0.10689407	0.116398826
a31	0.2773032	0.21540733	0.26604837	0.24124108
a18	0.37565157	0.39407015	0.17314573	0.057132587
a24	0.26083517	0.23790298	0.2703461	0.23091577
a46	0.25377816	0.24521184	0.25796247	0.24304755
</S>	0.27329898	0.2294076	0.26251543	0.23477797
