 	devo	pulire	l'	albero	</S>
a39	0.39075822	0.22755456	0.12561914	0.119855426	0.13621272
a31	0.15168135	0.18228218	0.20798874	0.38581172	0.07223605
a35	0.01239954	0.71818703	0.038264077	0.23114252	6.7605606e-06
a31	0.023371391	0.08459534	0.07564608	0.7400277	0.076359406
a20	0.03298607	0.05454713	0.006696719	0.76936156	0.13640851
a31	0.033407126	0.16723806	0.29437786	0.46653607	0.038440987
a37	0.0464005	0.29973975	0.12139269	0.49380806	0.038658936
a1	0.11892401	0.1622729	0.08110361	0.51435935	0.12334009
a20	0.030336253	0.05340044	0.005077826	0.727408	0.18377745
a31	0.4431414	0.11478576	0.05076168	0.09066465	0.30064648
a39	0.10772147	0.4964127	0.026671123	0.3371242	0.032070484
a10	0.3745637	0.21708123	0.2926523	0.067699835	0.048002895
a29	0.07399902	0.4402147	0.25209922	0.12761958	0.10606746
a46	0.19341001	0.17894292	0.3591223	0.16214597	0.1063787
a31	0.19574656	0.16168702	0.3853069	0.1561366	0.10112288
a20	0.015782844	0.23971513	0.06451217	0.6631573	0.016832601
a13	0.36655077	0.18477088	0.28650424	0.09211197	0.07006213
a20	0.083752155	0.232709	0.4751077	0.1808341	0.027597044
a31	0.2803954	0.237714	0.20586719	0.1601767	0.1158468
a11	0.052239124	0.23048191	0.45334682	0.15168224	0.11224995
a17	0.24863498	0.19392097	0.19498691	0.18077008	0.18168713
a20	0.20463127	0.20515338	0.24543905	0.18771324	0.157063
</S>	0.2358224	0.21525425	0.20206654	0.18291195	0.16394494
