 	sto	e	cucino	</S>
e	0.6307085	0.249733	0.02172994	0.09782835
s	0.439738166667	0.379147	0.0515330466667	0.129581783333
t	0.364115722222	0.373551666667	0.0876330822222	0.174699594444
è	0.318697907407	0.330336555556	0.176744694074	0.174220698148
c	0.204584735802	0.487480851852	0.188496731358	0.119437432716
e	0.117072011934	0.498174617284	0.249089077119	0.135664177572
m	0.0874783373113	0.397847205761	0.290283025706	0.224391392524
a	0.0731497457704	0.317452068587	0.167948808569	0.441449464175
r	0.0411887152568	0.192357022862	0.10058713619	0.665867154725
è	0.0265378384189	0.140002407621	0.0809300453967	0.752529718242
o	0.0319250461396	0.125661535874	0.122790281799	0.719623572747
</S>	0.0390825230698	0.138128767937	0.1551576409	0.667631786373
