 	vado	cercando	un	forno	che	fa	rustici	</S>
p	0.655321	0.12890145	0.03813475	0.0210999	0.01666185	0.0298783	0.04870525	0.0612977
à	0.662919666667	0.123013316667	0.0401961166667	0.01917024	0.01577295	0.0295479	0.0520420166667	0.0573377666667
o	0.623834222222	0.145436272222	0.0595575722222	0.0309093533333	0.0221800833333	0.0275715	0.0528864722222	0.0376244555556
c	0.352662674074	0.389855424074	0.0855430907407	0.0379431844444	0.0236061544444	0.02459175	0.0498407240741	0.0359569185185
e	0.180081158025	0.504308474691	0.0880199302469	0.0468482281481	0.0246795781481	0.0253687666667	0.0574350746914	0.0732587061728
r	0.115025419342	0.46558315823	0.124053310082	0.0605600093827	0.0317211260494	0.0270386022222	0.0663290582305	0.109689068724
k	0.0728860397807	0.514825386077	0.178505770027	0.0630432364609	0.0252852420165	0.0158878807407	0.0434363527435	0.086129622908
è	0.0691768465936	0.546402128692	0.209458590009	0.0664242121536	0.0194186140055	0.0112843169136	0.0283666309145	0.0494684743027
o	0.0516415155312	0.512278709564	0.292343863336	0.0736278040512	0.0185517046685	0.00816432563787	0.0177173236382	0.0256749914342
n	0.0341379718437	0.418245569855	0.343032287779	0.12428790135	0.0214417348895	0.00860834854596	0.0157958412127	0.0344510304781
t	0.0285542572812	0.306033856618	0.347562762593	0.191969633783	0.0324759782965	0.0124887928487	0.0262034470709	0.0547118101594
a	0.0237844857604	0.187999285539	0.373112254198	0.264630211261	0.0438382594322	0.0140424976162	0.0359074490236	0.0566855367198
è	0.0185942285868	0.13880609518	0.395732084733	0.323946403754	0.0447923531441	0.0104326325387	0.0260226096745	0.0416738122399
n	0.0153947095289	0.169255698393	0.360902694911	0.327617467918	0.0525790843814	0.0118979441796	0.0170124965582	0.04534030408
a	0.018674869843	0.170671466131	0.301933898304	0.338791822639	0.0693054614605	0.0156660480599	0.0223533988527	0.0626031346933
f	0.017525343281	0.154292722044	0.275774966101	0.32796794088	0.0964651204868	0.0336360826866	0.0272334662842	0.0671045782311
ù	0.014519534427	0.139166207348	0.278271655367	0.337338980293	0.109056573496	0.0388172942289	0.0203117420947	0.0625184594104
r	0.0141275781423	0.132910369116	0.304692885122	0.350149326764	0.099491757832	0.0259501980763	0.0170212006982	0.0556570198035
n	0.0127261927141	0.136641523039	0.263882961707	0.338580442255	0.115507619277	0.0356970660254	0.0333748335661	0.0635895399345
o	0.011299344238	0.086256441013	0.186550320569	0.349681480752	0.209765206426	0.0473580553418	0.0442885778554	0.0648008466448
k	0.013380394746	0.0587432803377	0.15065944019	0.299744493584	0.255284068809	0.0585286517806	0.0447259926185	0.118933748882
a	0.014628481582	0.0485773934459	0.115895313397	0.228166831195	0.27957835627	0.0936996839269	0.0540281308728	0.165425582961
k	0.011277467194	0.042531364482	0.0873135044657	0.180394943732	0.290355785423	0.184612894642	0.0535776102909	0.149936527654
à	0.00951055906467	0.0398752881607	0.0843693681552	0.176024314577	0.269168928474	0.236069964881	0.039392570097	0.145589175885
n	0.0102890330216	0.0383089627202	0.0915084227184	0.189314438192	0.264003309491	0.20782565496	0.040680556699	0.158069725295
n	0.0124051443405	0.0394864542401	0.0894032409061	0.160381812731	0.240345436497	0.22523421832	0.062673952233	0.170069575098
i	0.0112140681135	0.0293113847467	0.054141880302	0.099533737577	0.202306145499	0.262253406107	0.116509984078	0.224729191699
r	0.0088379127045	0.0176817949156	0.0302744267673	0.0628908125257	0.1619320485	0.268360802036	0.138952994693	0.3110690639
ù	0.00651334423483	0.0143632316385	0.0235655089224	0.0506585375086	0.145554682833	0.239773934012	0.206626664898	0.312943687967
s	0.00458703141161	0.0178019105462	0.0363286696408	0.0823936791695	0.149710560944	0.203707978004	0.246604221633	0.258866229322
t	0.00552506047054	0.0246877368487	0.0471813898803	0.101869159723	0.158639853648	0.263044992668	0.180275740544	0.218776743107
i	0.00566284682351	0.0206663289496	0.0309163499601	0.0571783499077	0.102494717883	0.242718197556	0.349707913515	0.190655581036
k	0.00470863894117	0.0142849929832	0.0250568699867	0.0451901466359	0.0796696726277	0.227560599185	0.395051971172	0.208477193679
u	0.00916717964706	0.0168158309944	0.0276028899956	0.0482353155453	0.0796864908759	0.234453199728	0.320520990391	0.26351806456
</S>	0.0133698398235	0.0189781154972	0.0241876449978	0.0390045577727	0.059681645438	0.170072599864	0.390206995196	0.28449853228
