 	l	ha	scritta	</S>
t	0.8253395	0.08409035	0.047048985	0.04352129
o	0.642334166667	0.220053116667	0.073732295	0.0638803633333
è	0.434937055556	0.426550038889	0.0766607983333	0.0618520544444
g	0.230089118519	0.46010967963	0.0815692327778	0.228231884815
r	0.10159547284	0.312475226543	0.203290877593	0.382638294938
a	0.05752552428	0.168265842181	0.445389625864	0.328819098313
t	0.0270068080933	0.071812780727	0.571357875288	0.329822699438
s	0.0136693993644	0.036325026909	0.538622291763	0.411383233146
e	0.0125887631215	0.0257247756363	0.491948097254	0.469738411049
</S>	0.0135475315608	0.0237959878182	0.476234548627	0.486422205524
