 	non	aveva	da	stare	</S>
e	0.805389	0.11387435	0.007451815	0.01889266	0.05439205
n	0.546646333333	0.213036783333	0.032779655	0.0720971533333	0.135440383333
ì	0.289218111111	0.429632927778	0.047144085	0.0894930844444	0.144512261111
c	0.206643703704	0.544194642593	0.078374595	0.0610907281481	0.10969622037
h	0.168188567901	0.411984214198	0.191831865	0.084605242716	0.143389740123
e	0.108813355967	0.248605738066	0.398225955	0.083854847572	0.160499913374
n	0.0516431853223	0.135035479355	0.518449318333	0.0873597158573	0.207512304458
a	0.0260576684408	0.0630016964517	0.374052106111	0.299687238619	0.237201101486
s	0.0109961561469	0.0244283121506	0.171668168704	0.605413412873	0.187493700495
t	0.0046165053823	0.0094276540502	0.0751443229013	0.733538804291	0.177272900165
a	0.00306624512743	0.0049626346834	0.0400451409671	0.703122268097	0.248803966722
s	0.00236471970914	0.00336865156113	0.0261290803224	0.632032756032	0.336104988907
ì	0.00200515790305	0.00291089718704	0.0213848601075	0.588954585344	0.384744662969
</S>	0.00240727395152	0.00340527359352	0.0199974800538	0.578180292672	0.396009831484
