 	entrò	da	qui	</S>
m	0.5284365	0.1614167	0.0355128	0.27463425
b	0.2498722	0.3691389	0.0512619	0.329727416667
ì	0.1757791	0.5947803	0.0508164	0.178624272222
k	0.220288366667	0.593086433333	0.0616785666667	0.124946557407
e	0.190796922222	0.563748811111	0.121020522222	0.124433652469
a	0.111191207407	0.432930603704	0.318307507407	0.137570684156
p	0.052851122469	0.182112801235	0.605168502469	0.159867894719
ò	0.0222275274897	0.075886033745	0.71395916749	0.187927631573
t	0.0126207491632	0.039259917915	0.669222722497	0.278896877191
t	0.00981428972107	0.025587179305	0.538153240832	0.42644562573
u	0.0110962965737	0.025062426435	0.402249080277	0.56159254191
</S>	0.0109919482868	0.0219670632175	0.370822540139	0.596218770955
