 	venne	scritto	</S>
ì	0.8068385	0.1247967	0.068365
r	0.752746833333	0.166627233333	0.0806262666667
t	0.618067277778	0.250436744444	0.131496422222
e	0.413849092593	0.366004914815	0.220146474074
g	0.247686930864	0.364845971605	0.387467158025
r	0.120979543621	0.387990990535	0.491029386008
a	0.059029081207	0.454308663512	0.486662128669
m	0.0371150604023	0.456225887837	0.506658709556
m	0.0213505868008	0.431233962612	0.547414903185
è	0.0303942622669	0.369872654204	0.599732634395
n	0.0438011874223	0.307210551401	0.648988211465
o	0.0359194624741	0.2807941838	0.683286403822
</S>	0.0279866312371	0.2869885919	0.685024701911
