 	se	si	era	vestito	il	mio	fratello	l	avessi	portato	con	me	</S>
a	0.7022455	0.1761105	0.032376725	0.008683235	0.00588166	0.00485374	0.00484713	0.00436374	0.005166175	0.005853085	0.01110887	0.024717125	0.013792815
n	0.4389395	0.2808745	0.094201975	0.013110845	0.00960402666667	0.0098568	0.00848020333333	0.00732774666667	0.00805247833333	0.00815638166667	0.01755569	0.0536506083333	0.0501896383333
ì	0.230036166667	0.420216166667	0.156041991667	0.0166678483333	0.0127198088889	0.0122545	0.00827346444444	0.00658904555556	0.00687813944444	0.00648046388889	0.01432089	0.0518517361111	0.0576702794444
c	0.136059688889	0.455755055556	0.218210997222	0.0511352161111	0.0218735362963	0.0176515666667	0.0108356181481	0.00736624518519	0.00504218314815	0.0044686512963	0.00795035666667	0.0291896453704	0.0344615598148
h	0.103340196296	0.302620351852	0.223362999074	0.15395540537	0.0633901454321	0.0289677888889	0.019511472716	0.0155988150617	0.00911305771605	0.00838249709877	0.0151802855556	0.0280193484568	0.0285574866049
e	0.0906181320987	0.185739450617	0.216624666358	0.197299468457	0.0901355484774	0.0449035962963	0.024660657572	0.0231115050206	0.015112352572	0.0145414990329	0.0250748951852	0.0367372494856	0.0354408288683
n	0.0606559106996	0.125160750206	0.216587888786	0.210186156152	0.103350349492	0.0578508654321	0.0327578858573	0.0337964016735	0.0166807841907	0.0154214663443	0.0272643650617	0.0455289164952	0.0547585762894
d	0.0424709368999	0.0743641167353	0.138767829595	0.246110718717	0.148921449831	0.0707911884774	0.0530383952858	0.0548099672245	0.0164588947302	0.0145411554481	0.0290123883539	0.0498171721651	0.0608959587631
i	0.0363903456333	0.0541922055784	0.0948707431983	0.276618239572	0.15943881661	0.0735051961591	0.0598857650953	0.0580109557415	0.0188388982434	0.0149977184827	0.029085996118	0.0539656907217	0.0701993862544
s	0.0319090152111	0.0455021685261	0.0737436810661	0.310542079857	0.15994993887	0.0604341987197	0.0554352883651	0.0476048185805	0.0251456994145	0.0170659728276	0.026713498706	0.0537166302406	0.0922369620848
ò	0.0261416050704	0.0424015895087	0.0650749936887	0.317875693286	0.18858264629	0.0563644995732	0.0532142627884	0.0470658728602	0.0290207331382	0.0188824909425	0.019263822902	0.0396831767469	0.0964285873616
n	0.0181621483568	0.0361557631696	0.0622858312296	0.284608564429	0.202767548763	0.0749124665244	0.0612277875961	0.0797657242867	0.0258538110461	0.0162461969808	0.0135401309673	0.024209792249	0.100264462454
t	0.0124708961189	0.0217355543899	0.0394560104099	0.21980385481	0.221425849588	0.112177822175	0.0864013291987	0.119407574762	0.0232058370154	0.0124329323269	0.0142757436558	0.0203102307497	0.0968966541513
a	0.0117506987063	0.0161855847966	0.0234152368033	0.185920951603	0.235155949863	0.150087274058	0.104307443066	0.137499524921	0.0227780456718	0.0113775107756	0.0126624012186	0.0200535769166	0.0688062847171
o	0.0115015329021	0.0141840282655	0.0175758122678	0.150865650534	0.215351649954	0.180845758019	0.121765481022	0.167226508307	0.0236724152239	0.0128654702585	0.00955872707287	0.0181799589722	0.0564071615724
a	0.0114167109674	0.0128324760885	0.0143893374226	0.111220850178	0.182586883318	0.201117586006	0.139118827007	0.189303836102	0.0280809717413	0.0169769567528	0.00956808235762	0.0165030863241	0.0668842871908
d	0.00885515032247	0.0097384320295	0.0111805591409	0.0881487500593	0.144488627773	0.184399862002	0.152122942336	0.184887945367	0.0421912239138	0.0275470522509	0.0347750274525	0.0269893954414	0.0846751623969
e	0.00897093010749	0.0110523173432	0.013105433047	0.0904414166864	0.136122542591	0.162413287334	0.140132847445	0.173292648456	0.0431854413046	0.029646817417	0.0445806424842	0.0330305318138	0.114025054132
r	0.00923648336916	0.0116870791144	0.013310364349	0.0786477388955	0.12595494753	0.162925762445	0.144118815815	0.164993549485	0.0496812471015	0.0310944724723	0.0395860808281	0.0357373772713	0.133026018044
f	0.00637758112305	0.0076502697048	0.00848843811633	0.0520049129652	0.100607649177	0.169921587482	0.154934271938	0.156089516495	0.0625062490338	0.0363412908241	0.049371560276	0.0408906924238	0.154816006015
ò	0.00520119704102	0.00728045323493	0.00825461270544	0.0504442709884	0.106088449726	0.181884529161	0.158092423979	0.156455838832	0.0651011496779	0.036687363608	0.0384299867587	0.0287708741413	0.157308668672
m	0.00400759568034	0.00679538107831	0.00988937423515	0.0644452903295	0.106635616575	0.16100250972	0.161101141326	0.160434612944	0.0776345165593	0.0462624878693	0.0444849955862	0.0301731680471	0.127132889557
m	0.00377592856011	0.00577450369277	0.00998046141172	0.0843397301098	0.105423005525	0.13876950324	0.138193380442	0.170125204315	0.0823779055198	0.0597515292898	0.0540739651954	0.044524789349	0.102889329852
u	0.0042949161867	0.00525549789759	0.00757711047057	0.0660006100366	0.0820850685083	0.121009767747	0.134028126814	0.148352968105	0.125642735173	0.11339017643	0.0455116883985	0.048279329783	0.0985714766173
o	0.00480268206223	0.0051913192992	0.00605546015686	0.0311187033455	0.0452570561694	0.100687755916	0.148278708938	0.112764889368	0.179120911724	0.16188805881	0.0431672627995	0.045104443261	0.116562825539
n	0.00431967068741	0.00470018643307	0.00590843005229	0.0365093344485	0.0483488853898	0.0942810853053	0.143783236313	0.114207296456	0.163343303908	0.14721268627	0.0743491875998	0.0428500144203	0.120186941846
ì	0.00359992356247	0.00452527881102	0.00610127335076	0.0418271448162	0.0559872617966	0.103038961768	0.140728745438	0.114376098819	0.146531767969	0.128939228757	0.0910125291999	0.0384885714734	0.124843313949
c	0.00288475452082	0.00445456627034	0.00635497111692	0.0481698482721	0.0628019539322	0.108608953923	0.133307715146	0.106398299606	0.134110889323	0.114593642919	0.0935146430666	0.0672880238245	0.117511737983
h	0.00480045817361	0.00611712875678	0.00821961370564	0.0532568160907	0.0631680513107	0.090400284641	0.113192038382	0.096993533202	0.138110596441	0.15336844764	0.0950663143555	0.0762545079415	0.101052012661
a	0.00645167272454	0.00698122958559	0.00811231123521	0.0319657653636	0.0400872837702	0.0644411282137	0.094706112794	0.0716675110673	0.15933086548	0.212537149213	0.0952295381185	0.0638225693138	0.144666470887
p	0.00453546757485	0.00471460986186	0.00523860041174	0.0197391817879	0.0294356945901	0.0537144760712	0.084196937598	0.0648682703558	0.140765621827	0.192235049738	0.161496512706	0.0775625231046	0.161497156962
à	0.00332971585828	0.00383563662062	0.00434217680391	0.0183460939293	0.03052603153	0.0580050253571	0.0856741791993	0.0656142234519	0.130906540609	0.164368683246	0.196173170902	0.0837441410349	0.155134718987
r	0.00298712861943	0.00362624554021	0.0040807256013	0.0165145313098	0.02836301051	0.0647999084524	0.0941521263998	0.0640202078173	0.14263684687	0.165135227749	0.169434723634	0.0859114136783	0.158338239662
o	0.00352376287314	0.0041298885134	0.0045387218671	0.0159923104366	0.0246787368367	0.0578753361508	0.0840629754666	0.0584275026058	0.129707848957	0.155178742583	0.173052241211	0.133717971226	0.155114079887
n	0.00383277762438	0.00446984617113	0.0051468239557	0.0209995034789	0.0292602456122	0.0489270453836	0.0668417918222	0.0541408675353	0.105956449652	0.147326580861	0.20658874707	0.147449623742	0.159059359962
t	0.00391997920813	0.00421305205704	0.0048057546519	0.0192749578263	0.0274269685374	0.0405633151279	0.0540628639407	0.0479306891784	0.082355449884	0.137303526954	0.24852691569	0.131367174581	0.198249119987
a	0.00437626640271	0.00411483068568	0.00443407155063	0.0098827959421	0.0132725361791	0.019835238376	0.0275131546469	0.0229982763928	0.051534616628	0.104002175651	0.252092971897	0.21190772486	0.274035039996
m	0.0036051988009	0.00337000022856	0.00415331718354	0.0213157519807	0.0265089720597	0.036397812792	0.049928851549	0.0483286054643	0.055452138876	0.082310025217	0.230129990632	0.210905908287	0.227592979999
a	0.00282060626697	0.00293246340952	0.00379467906118	0.0254539939936	0.0312017173532	0.0420589809307	0.0569427605163	0.0567305251548	0.052446746292	0.0623264084057	0.190035996877	0.314396636096	0.158858626666
m	0.00235703542232	0.00256681780317	0.00334489302039	0.0207544413312	0.0261589991177	0.0360600703102	0.0488133301721	0.0486679317183	0.0469061820973	0.0584995028019	0.209919665626	0.361844212032	0.134107175555
è	0.00158033247411	0.00185460626772	0.00258754367346	0.0182359837771	0.0237409330392	0.0335790901034	0.0454403133907	0.0446355072394	0.0448552940324	0.057100100934	0.199906821875	0.416495404011	0.109988025185
n	0.00137097815804	0.00147551908924	0.00179522055782	0.0087184779257	0.0116758443464	0.0188192967011	0.0263028411302	0.0225099324131	0.0337602646775	0.050576666978	0.156066873958	0.505235468004	0.161692675062
a	0.00364470938601	0.00276779636308	0.00351935351927	0.00621830597523	0.00817909811547	0.0135983889004	0.0194992437101	0.0156789741377	0.0295214215592	0.048801322326	0.149084324653	0.496811489335	0.202675558354
</S>	0.005755534693	0.00397077318154	0.00522671175964	0.00540410298762	0.00664672405774	0.0093629294502	0.012929866855	0.0111834820689	0.0208382107796	0.036258861163	0.117426212326	0.570213244668	0.194783279177
