 	il	muro	vuole	uno	specchio	</S>
o	0.730093	0.231234	0.009899525	0.00757033	0.00867061	0.01253252
t	0.464426	0.41405	0.0286526083333	0.0134982433333	0.0352890033333	0.0440844066667
ì	0.2782	0.558001	0.0521895361111	0.0144690811111	0.0441168344444	0.0530236688889
c	0.194157233333	0.515759	0.212515312037	0.0106680603704	0.0284568114815	0.038443322963
h	0.114132711111	0.492893333333	0.292782770679	0.0259675867901	0.0274269371605	0.046796674321
o	0.0806411037037	0.441009111111	0.34450792356	0.0394862622634	0.0288358123868	0.0655198914403
t	0.0558193679012	0.22573847037	0.408337307853	0.0714415874211	0.0401060041289	0.198557363813
è	0.0384745893004	0.125868590123	0.470290102618	0.077580295807	0.041134568043	0.246652121271
l	0.0264253964335	0.106233263374	0.469096367539	0.101983865269	0.0533347893477	0.242926373757
i	0.0218717988112	0.0740713877913	0.31413878918	0.148104621756	0.0996521631159	0.342161124586
n	0.0186902262704	0.0448679959304	0.23019326306	0.220730540585	0.140721721039	0.344796041529
a	0.0117778220901	0.0270027953101	0.125058654353	0.318386180195	0.21630957368	0.30146468051
n	0.0075620106967	0.0149762051034	0.0617323181177	0.376271726732	0.300141191227	0.239316226837
g	0.00684612023223	0.0117447117011	0.0401402060392	0.402987908911	0.316054397076	0.222226408946
h	0.00783874007741	0.0108720872337	0.0258781020131	0.365302636304	0.323960799025	0.266147469649
i	0.00665526669247	0.00890329574457	0.016549810671	0.313687545435	0.386449933008	0.267753823216
a	0.00545931889749	0.00653540524819	0.008540453557	0.241983515145	0.494392977669	0.243088274405
l	0.00355344296583	0.00494252841606	0.00918849118567	0.252883171715	0.529697659223	0.199735091468
ì	0.00231397432194	0.00386016947202	0.0109196103952	0.223565090572	0.584819886408	0.174521697156
</S>	0.00227473716097	0.00339501973601	0.0095517751976	0.139324095286	0.666242443204	0.179212348578
