 	e	che	cucino	</S>
c	0.601301	0.215735	0.052568145	0.13039585
e	0.464426666667	0.291373333333	0.061044815	0.18315495
p	0.306233522222	0.453092111111	0.0801592383333	0.160514616667
u	0.150550407407	0.548916037037	0.176706412778	0.123826838889
m	0.0960646358023	0.569810012346	0.206606137593	0.127518946296
a	0.0677959786008	0.496362670782	0.200186712531	0.235654648765
r	0.0526104928669	0.339775223594	0.21923323751	0.388381216255
è	0.0368776976223	0.278755407865	0.200580745837	0.483786072085
o	0.0429142992074	0.257695469288	0.189257915279	0.510132357362
</S>	0.0492908996037	0.267312234644	0.187728957639	0.495668178681
