 	vado	vestito	</S>
i	0.82135	0.07991585	0.09873455
p	0.564380666667	0.25784915	0.177770516667
à	0.497166555556	0.326196383333	0.176637205556
o	0.512133185185	0.285116794444	0.202749768519
n	0.265204895062	0.382430598148	0.352364256173
d	0.130305798354	0.474374532716	0.395319752058
i	0.0736368327847	0.504108844239	0.422254584019
m	0.0432739442616	0.474493281413	0.482233194673
è	0.0300189147539	0.477829760471	0.492151398224
n	0.0255739715846	0.41171025349	0.562715799408
o	0.0202406571949	0.34432141783	0.635437933136
</S>	0.0172255785975	0.351147708915	0.631626466568
