 	vengono	vestiti	</S>
è	0.779917	0.0730261	0.147057
r	0.642885	0.122757633333	0.234357666667
k	0.434168666667	0.201063544444	0.364768222222
u	0.207673088889	0.416099181481	0.376227740741
t	0.089971762963	0.57343772716	0.336590580247
t	0.0452892209877	0.52793757572	0.426773526749
e	0.0297434736626	0.467638191907	0.50261884225
n	0.0204381178875	0.476659397302	0.502902947417
d	0.0169262326292	0.434291132434	0.548782649139
i	0.0283143775431	0.318031377478	0.65365421638
m	0.026893579181	0.358100459159	0.615006072127
è	0.0139446130603	0.43816581972	0.547889690709
n	0.0125027376868	0.433351606573	0.55414556357
a	0.0184550125623	0.366242202191	0.61530252119
</S>	0.0219199562811	0.309681601096	0.668398260595
