 	stava	ancora	cucinando	</S>
ì	0.7275225	0.08295405	0.0907465	0.0987769
s	0.763757166667	0.08002595	0.0803526333333	0.0758641666667
t	0.703275722222	0.176159716667	0.0706193444444	0.0499450555556
i	0.575982907407	0.236094905556	0.0934103814815	0.0945114851852
g	0.413868969136	0.313945301852	0.100958393827	0.171227161728
g	0.222077323045	0.367652767284	0.138776464609	0.271493387243
h	0.167470774348	0.334889589095	0.16197415487	0.335665462414
e	0.142112924783	0.394566529698	0.177983384957	0.285337154138
a	0.113062708261	0.401379843233	0.218116794986	0.267440384713
n	0.0768073694203	0.456891614411	0.198374264995	0.267926461571
k	0.0503430564734	0.46492287147	0.163743421665	0.32099048719
ò	0.0526755188245	0.357244957157	0.199854807222	0.39022449573
r	0.0742048062748	0.291144652386	0.264841602407	0.36980883191
a	0.0743258687583	0.197154850795	0.279814200802	0.44870494397
m	0.0489294895861	0.202880583598	0.336977066934	0.41121264799
a	0.0348074631954	0.197850627866	0.373462688978	0.393878882663
r	0.0228699577318	0.0927433759553	0.373962562993	0.510423960888
è	0.0157385559106	0.0496294586518	0.408969854331	0.525662320296
o	0.0186095186369	0.0378051195506	0.402906951444	0.540678773432
n	0.0141104295456	0.0506391398502	0.445660317148	0.489590591144
t	0.0127186665152	0.0631453466167	0.424404105716	0.499732197048
a	0.0159183555051	0.0522349488722	0.317665701905	0.614181065683
</S>	0.0160571777526	0.0452168744361	0.281905350953	0.656820532841
