 	sono	vestita	</S>
ì	0.892597	0.0635365	0.04386685
m	0.598375366667	0.106029166667	0.295595816667
e	0.282618822222	0.271678055556	0.445703272222
n	0.188564607407	0.329954018519	0.481481424074
d	0.140836202469	0.281808339506	0.577355474691
i	0.096923100823	0.373341113169	0.529735824897
m	0.0498712336077	0.402532037723	0.547596608299
è	0.0329934445359	0.432343012574	0.534663202766
n	0.027480081512	0.401772004191	0.570747734255
i	0.0284859271707	0.33563733473	0.635876911418
</S>	0.0282092135854	0.354728167365	0.617062955709
