 	ora	ho	finito	di	scrivere	</S>
à	0.7658045	0.07895285	0.022315155	0.04776828	0.04590414	0.039255575
r	0.544702166667	0.22327995	0.076985085	0.0531306266667	0.0563976133333	0.045504825
t	0.322787388889	0.35439465	0.196172695	0.0343655755556	0.0512478711111	0.041031575
e	0.19771612963	0.430276883333	0.220267565	0.0323646585185	0.0599029903704	0.059471325
s	0.132801909877	0.410577294444	0.220276521667	0.0374739195062	0.0709482634568	0.127921941667
p	0.078108769959	0.268521098148	0.301933840556	0.0810039398354	0.0778986211523	0.192533980556
ì	0.0635829233197	0.233867366049	0.412198613519	0.0927324466118	0.0548714737174	0.142747393519
c	0.0718496411066	0.215511788683	0.440597204506	0.100148282204	0.0487760579058	0.12311719784
c	0.0799279137022	0.193355596228	0.350998401502	0.136933427401	0.0816658859686	0.157119065947
e	0.0719573712341	0.207013532076	0.331708467167	0.189791142467	0.0796493953229	0.119880288649
t	0.060083857078	0.198846177359	0.311945822389	0.203318714156	0.078594898441	0.147210696216
s	0.0515594856927	0.151766192453	0.222166607463	0.283078571385	0.092816966147	0.198612232072
a	0.0343039952309	0.0830358974843	0.136100402488	0.509250523795	0.0796042887157	0.157704877357
t	0.0237840984103	0.0474856658281	0.0787192008293	0.550130507932	0.0839870629052	0.215893759119
s	0.0175167328034	0.0350162219427	0.0565011336098	0.441145835977	0.0903606209684	0.359459586373
e	0.0159876442678	0.0317558406476	0.0493150112033	0.372568611992	0.127692140323	0.402680862124
g	0.0123210280893	0.0284360135492	0.0389227037344	0.336188203997	0.264004713441	0.320127954041
r	0.0090803893631	0.0225746711831	0.0278439345781	0.266046734666	0.37142690448	0.30302798468
à	0.0072397997877	0.0137853337277	0.019187951526	0.147207344889	0.516645301493	0.29593466156
t	0.00384003992923	0.0079802445759	0.012568933842	0.0909649816297	0.676665100498	0.207980887187
s	0.00455412330974	0.0096636715253	0.0151057212807	0.0978930938766	0.616626033499	0.256157295729
i	0.00484760776991	0.0093331271751	0.0139902570936	0.0750435979589	0.5669353445	0.329849765243
</S>	0.00346809388496	0.00589161858755	0.0087411535468	0.0449306489795	0.60741617225	0.329551882622
