 	vuole	pianto	</S>
i	0.8840405	0.076911	0.0390483
t	0.6598945	0.139518333333	0.200586633333
è	0.5649485	0.185327777778	0.249723144444
l	0.4613176	0.175368925926	0.363312981481
i	0.193465866667	0.322083975309	0.484449660494
k	0.086830088889	0.370442658436	0.542726886831
l	0.0510881296297	0.259155886145	0.689755628944
a	0.0418715765432	0.291937628715	0.666190542981
m	0.0266917355144	0.333318209572	0.63998984766
m	0.0119902451715	0.355304069857	0.632705615887
è	0.0133609383905	0.369619023286	0.617020205296
n	0.0185772127968	0.326932007762	0.654490735099
o	0.0159674142656	0.291247335921	0.6927849117
</S>	0.0128359721328	0.307402167961	0.67976145585
