 	è	che	stanno	ancora	svegli	</S>
è	0.757772	0.08778605	0.03041625	0.05275267	0.0301697	0.04110325
n	0.581078	0.215011016667	0.0489542166667	0.05737439	0.0440759333333	0.0535065166667
a	0.352748666667	0.468723005556	0.0546841055556	0.0347176966667	0.0431509777778	0.0459757722222
s	0.179934922222	0.556314001852	0.120460368519	0.0357666655556	0.0478632925926	0.0596611240741
t	0.107747974074	0.428693333951	0.22933812284	0.0496281218519	0.0642627308642	0.120330174691
a	0.083165791358	0.316956111317	0.34654337428	0.049211807284	0.0623451769547	0.141777724897
t	0.0616167971193	0.201984737106	0.34812412476	0.0750134357613	0.0565278256516	0.256732908299
ù	0.0474618990398	0.138392612369	0.352181041587	0.11499381192	0.0515524418839	0.295417969433
n	0.0411508330133	0.13326787079	0.379706013862	0.115956603973	0.0464270472946	0.283491323144
e	0.0570925443378	0.126538623597	0.290012337954	0.139757534658	0.0718401157649	0.314758774381
a	0.0790387147793	0.120064807866	0.212916112651	0.210061178219	0.116377038588	0.261541924794
n	0.0562999382598	0.0856789692887	0.153233370884	0.23252039274	0.151862679529	0.320404308265
k	0.0377004794199	0.0621545230962	0.113269956961	0.203394464247	0.12689082651	0.456589436088
ò	0.0368036264733	0.0627537410321	0.087361018987	0.283424154749	0.0911089755033	0.438548145363
r	0.0402888754911	0.0683469136774	0.0984315396623	0.352249051583	0.135932758501	0.304750715121
a	0.0798214918304	0.0889568378925	0.122806846554	0.287814017194	0.143268586167	0.277332238374
a	0.0929581306101	0.0940982792975	0.116744415518	0.253774339065	0.159522195389	0.282902412791
t	0.05191817687	0.0553894197658	0.0809310718393	0.214777779688	0.226657398463	0.370325804264
s	0.0295287589567	0.0332671332553	0.0539730239464	0.129631793229	0.191158366154	0.562440601421
ù	0.0302269863189	0.0456671777518	0.0529937413155	0.115906131076	0.181283355385	0.573922200474
n	0.023287728773	0.0424251259173	0.0549660804385	0.121697810359	0.243356451795	0.514266400158
n	0.021189609591	0.0291413419724	0.0441619268128	0.0957227367863	0.206067217265	0.603716800053
i	0.0458642698637	0.0490026806575	0.0551636422709	0.0901027789288	0.159580472422	0.600285933351
t	0.0498106566212	0.0506245602192	0.053694580757	0.0749760263096	0.178523824141	0.592370311117
i	0.0423731188737	0.0434439534064	0.0441406935857	0.0613357421032	0.227099274714	0.581607103706
</S>	0.0500789094369	0.0527424267032	0.0511006467928	0.0655330710516	0.266431637357	0.514113051853
