 	vuole	pianto	</S>
e	0.882877	0.0769245	0.04019835
t	0.656686333333	0.1393425	0.203971016667
è	0.560132111111	0.186462833333	0.253404905556
l	0.457906037037	0.176905944444	0.365187868519
i	0.192048812346	0.321327981481	0.486622956173
k	0.0861193041153	0.36948032716	0.544399985391
l	0.0506814680384	0.259407442387	0.68991099513
a	0.0415170226795	0.292032147462	0.666450998377
m	0.0264652708932	0.333417715821	0.640116999459
m	0.0119195302977	0.355672905274	0.632407666486
è	0.0133229200992	0.369871968425	0.616805222162
n	0.0185710400331	0.327186989475	0.654241740721
o	0.015987330011	0.291499663158	0.69251258024
</S>	0.0128452900055	0.307658831579	0.67949529012
