 	non	sono	andati	</S>
e	0.834033	0.0671091	0.0477726	0.05108495
n	0.576058	0.215461366667	0.076973	0.131507283333
è	0.317627666667	0.469446788889	0.0748222333333	0.138103227778
c	0.237625555556	0.531427596296	0.115612611111	0.115334209259
h	0.213208518519	0.427985865432	0.177272203704	0.181533403086
u	0.154986906173	0.316290955144	0.286764401235	0.241957801029
n	0.0772244020577	0.221013651715	0.336106800412	0.365654933676
e	0.0415743006859	0.139143917238	0.338325266804	0.480955977892
p	0.0192668068953	0.0605509390793	0.460691088935	0.459490992631
a	0.0120116422984	0.0339168796931	0.497245696312	0.456825997544
m	0.00979064409947	0.0263021265644	0.497425898771	0.466481332515
è	0.00550036469982	0.0201400755215	0.574332966257	0.400026444172
n	0.00512847156661	0.0213124585072	0.535185322086	0.438373481391
a	0.0083061205222	0.0257551861691	0.419666774029	0.54627182713
</S>	0.0113357602611	0.0240722430845	0.388920887015	0.575671413565
