 	tutto	il	cibo	vuole	girato	</S>
ò	0.769711	0.07408295	0.01898823	0.02335398	0.07212615	0.041737825
l	0.491183333333	0.251075983333	0.06693001	0.0311213933333	0.0776865166667	0.082002775
o	0.243463777778	0.488970327778	0.0972534033333	0.0252303311111	0.0514503722222	0.0936317916667
o	0.150515859259	0.446510109259	0.225485867778	0.026123177037	0.0531460907407	0.0982187972222
m	0.0879983530863	0.226812703086	0.322786955926	0.155504125679	0.0539017302469	0.152996265741
a	0.0572303843621	0.118348567695	0.349564318642	0.241651041893	0.0498637100823	0.183342421914
r	0.0470688947874	0.0817981558983	0.373012772881	0.288118013964	0.0384607033608	0.171541473971
ì	0.0292709315958	0.0562792852994	0.35925159096	0.397220671321	0.0268380344536	0.131139291324
o	0.0260014771986	0.0494063950998	0.333179196987	0.461255557107	0.0304484114845	0.099708897108
t	0.0250314923995	0.0378630650333	0.217958732329	0.425924519036	0.0544428371615	0.238779299036
è	0.0203611641332	0.0304937550111	0.148613910776	0.397774173012	0.0899655790538	0.312791433012
l	0.0168073213777	0.030920618337	0.144915303592	0.371487391004	0.138920859685	0.296948811004
i	0.0159921737926	0.0271806394457	0.110780367864	0.222440263668	0.237721953228	0.385884937001
v	0.0126846712642	0.0179256131486	0.057140989288	0.133373554556	0.444522984409	0.334351979
o	0.0075087004214	0.0106047677162	0.0336794964293	0.0859810181853	0.60335766147	0.258867993
t	0.0055738234738	0.0072388359054	0.0168911421431	0.0431610727284	0.666141553823	0.260993664333
i	0.0039487878246	0.00501751863513	0.00979874738103	0.0267124242428	0.683174184608	0.271348888111
m	0.0034967826082	0.00498896287838	0.0125546724603	0.0404088080809	0.693361728203	0.245189296037
m	0.0025614108694	0.00540836762613	0.0162417574868	0.0881017693603	0.674429909401	0.213256765346
è	0.0029788802898	0.00627435254204	0.0150158191623	0.0828361897868	0.583042303134	0.309852588449
n	0.00375493342993	0.00639053418068	0.0143969730541	0.0437208965956	0.568491767711	0.363244862816
o	0.00572308447664	0.00743452139356	0.0134606576847	0.0335940988652	0.583621255904	0.356166287605
</S>	0.00741328223832	0.00843302569678	0.0126315288424	0.0308948994326	0.573455127952	0.367172143803
