 	se	vuoi	restare	sempre	magro	non	magniare	la	sera	</S>
a	0.8653495	0.04570325	0.019479595	0.00986571	0.005813465	0.003324225	0.004808535	0.00822666	0.01957421	0.017854685
t	0.6005555	0.219237083333	0.0261164316667	0.0147457033333	0.0127705183333	0.00541843833333	0.00712518166667	0.0108459366667	0.0388228033333	0.0643623283333
e	0.438042833333	0.303446694444	0.0378962438889	0.0174191344444	0.0285835061111	0.00846728611111	0.00993533722222	0.0125655955556	0.0583063677778	0.0853370427778
l	0.367086277778	0.293412231481	0.049694747963	0.0201202781481	0.041517302037	0.0140006287037	0.0158959124074	0.0148325985185	0.0905801225926	0.0928599475926
ì	0.261368092593	0.418916410494	0.048085849321	0.020361192716	0.0370249340123	0.0146283395679	0.0159997774691	0.0139652328395	0.0831026741975	0.0865475158642
s	0.235316364198	0.458740803498	0.0552527497737	0.0261071642387	0.0701291780041	0.0166894431893	0.0165488324897	0.0162772442798	0.0485345913992	0.0564035386214
i	0.160317288066	0.471148601166	0.0581931165912	0.0304923880796	0.110831726001	0.0211243477298	0.0200749774966	0.0207973814266	0.0464993971331	0.0605206795405
n	0.0983684293553	0.414885533722	0.0738570721971	0.0582125626932	0.172637242	0.0218350159099	0.0190958258322	0.0186027938089	0.041637765711	0.0808675598468
a	0.0697995764518	0.329219177907	0.0846384907324	0.0715436875644	0.244507414	0.0244755386366	0.0207931086107	0.017754464603	0.044411255237	0.0928569866156
m	0.0505785921506	0.240186159302	0.132789963577	0.128391729188	0.214636471333	0.0428869128789	0.0360490028702	0.017065468201	0.0436574184123	0.0937581288719
ì	0.0313941973835	0.190907486434	0.154261121192	0.159836543063	0.248545490444	0.0593524376263	0.0461069676234	0.011518116067	0.0252160461374	0.0728613762906
n	0.0257271657945	0.213979162145	0.177768173731	0.134246814354	0.274025496815	0.0531182792088	0.0401902892078	0.0106259520223	0.0150944220458	0.0552242587635
i	0.0182240552648	0.143596220715	0.229842391244	0.164550271451	0.235758498938	0.0764396264029	0.0561882297359	0.0104629940074	0.0144117406819	0.0505258195878
p	0.0132703684216	0.0711449735717	0.230730130415	0.21236775715	0.195549132979	0.100165075468	0.080894109912	0.0125551080025	0.0163957135606	0.0669272065293
à	0.0089276028072	0.0448142245239	0.217220043472	0.229512585717	0.16946767766	0.128487558489	0.104663269971	0.0129839393342	0.0129229678535	0.0710002688431
n	0.0075295476024	0.051553541508	0.221390681157	0.222382861906	0.16600555922	0.131423219496	0.103120756657	0.00980033977807	0.0128358526178	0.073957956281
t	0.00704812586747	0.0446460471693	0.275770227052	0.230083953969	0.118415953073	0.106425106499	0.099176252219	0.012328469926	0.0187790508726	0.0873270187603
a	0.00734325195582	0.0218312057231	0.277605075684	0.201553984656	0.0873696510243	0.133940368833	0.166797084073	0.0196143233087	0.0197968836242	0.0641482395868
l	0.00646611398527	0.018242925241	0.226591358561	0.194747661552	0.0755945170081	0.131351656278	0.176958228024	0.0478502411029	0.0298114945414	0.0923856131956
e	0.00800325132842	0.0187955750803	0.189505786187	0.183472220517	0.069046672336	0.123047085426	0.182586942675	0.0667876470343	0.0377999648471	0.120954537732
t	0.00888307710947	0.0137828616934	0.184964595396	0.156206740172	0.054730024112	0.129449361809	0.202564647558	0.0717975823448	0.0431426882824	0.134478179244
t	0.00690894903649	0.00955355723113	0.164913531799	0.128235213391	0.0404947413707	0.12342678727	0.187305215853	0.115424427448	0.0553439960941	0.168393726415
ò	0.00563620301216	0.00813857574371	0.1295395106	0.0904156044637	0.0380613137902	0.149589262423	0.205778738618	0.163465142483	0.0611558653647	0.148219875472
m	0.00473898767072	0.0123290485812	0.147211836867	0.131518768155	0.0523092379301	0.141029054141	0.172664712873	0.142783480828	0.0675711217882	0.127843591824
i	0.00683115922357	0.0152323495271	0.140000178956	0.138116356052	0.0479701126434	0.10292685138	0.135186704291	0.174373926943	0.0890457739294	0.150316197275
f	0.00718857307452	0.011831036509	0.102787559652	0.099495218684	0.0318800708811	0.08510745046	0.115080434764	0.226937975648	0.145878257976	0.173813065758
à	0.00498181102484	0.00849243883633	0.084668719884	0.080587606228	0.0269550902937	0.08920311682	0.108785344921	0.221233991883	0.206916085992	0.168176021919
i	0.00553873367495	0.00795046294544	0.073825406628	0.059647002076	0.0206360300979	0.09040043894	0.10755208164	0.234479330628	0.238841695331	0.161129007306
t	0.00594236789165	0.00800661098181	0.0704893355427	0.0571516673587	0.0156769100326	0.07384401298	0.0848026272133	0.211810110209	0.264117231777	0.208159002435
o	0.00524928929722	0.00698568699394	0.0497946451809	0.0428507557862	0.0115352800109	0.0511124709933	0.0580045424044	0.161053036736	0.353472077259	0.259942000812
v	0.00388707643241	0.00585565233131	0.046796781727	0.0460654185954	0.0135850700036	0.0304933903311	0.0385380141348	0.140123345579	0.44439969242	0.230255333604
r	0.00220685214414	0.0037938307771	0.0419677205757	0.0429595495318	0.0127464166679	0.021366636777	0.0293223013783	0.11437488186	0.55307456414	0.178187111201
à	0.00169811738138	0.00255471359237	0.0207006335252	0.0191832665106	0.00643281222263	0.0122653855923	0.0180908971261	0.0822512939533	0.66924652138	0.1675763704
i	0.00324160912713	0.00430411119746	0.0191064445084	0.0153791955035	0.00527233740754	0.0122738618641	0.0184026323754	0.0855499979844	0.64884284046	0.187627123467
</S>	0.00486733956357	0.00615190059873	0.0215671722542	0.0169286977518	0.00521154870377	0.013221680932	0.0195363661877	0.0930834989922	0.60487192023	0.214560061734
