 	sono	stato	sempre	poveretti	</S>
ì	0.7935225	0.06243935	0.04565645	0.059226725	0.0391549
m	0.5304445	0.164904283333	0.08030215	0.069517475	0.1548314
e	0.264833833333	0.405079427778	0.0820391833333	0.049929225	0.198118366667
s	0.179205611111	0.559167809259	0.0898825277778	0.0480876083333	0.123656322222
t	0.128287503704	0.529111269753	0.164009842593	0.0606792027778	0.117911740741
a	0.097791334568	0.524979756584	0.168464847531	0.0677830342593	0.14098091358
m	0.068460744856	0.431602585528	0.282917515844	0.0695647114198	0.14745463786
m	0.0392476482853	0.320634528509	0.448696505281	0.0728480371399	0.11857341262
è	0.0510016827618	0.468409509503	0.33744250176	0.05625231238	0.08689393754
n	0.122681727587	0.498995503168	0.179562167253	0.0636259707933	0.13513457918
a	0.152406575862	0.325539167723	0.218147722418	0.0945103235978	0.20939619306
p	0.091597791954	0.171980922574	0.372867574139	0.139518441199	0.224035064353
à	0.0440495639847	0.0988541075247	0.477962858046	0.1470348804	0.232098354784
n	0.0307653546616	0.0856718691749	0.483207952682	0.150572693467	0.249782118261
t	0.0264668848872	0.0595545563916	0.401333984227	0.213112564489	0.29953203942
a	0.0240334949624	0.0372469521305	0.266415661409	0.28389685483	0.38840701314
t	0.0162754749875	0.0217389773768	0.170346553803	0.41748295161	0.374156337713
e	0.0111278649958	0.0159762191256	0.119950084601	0.503321317203	0.349625112571
c	0.0073644249986	0.0128669963752	0.0944192615337	0.595311772401	0.29003780419
h	0.0051739316662	0.0089434954584	0.0955410205112	0.6782535908	0.21208803473
ù	0.00593471388873	0.00904203848613	0.0843112068371	0.616896530267	0.283815678243
d	0.00414540696291	0.00691436616204	0.0734799689457	0.648079843422	0.267380559414
d	0.00400356132097	0.00653467538735	0.0794154896486	0.664031947807	0.246014186471
h	0.00682381044032	0.0100071917958	0.0924163298829	0.558169982602	0.33258239549
i	0.00913261681344	0.0100902539319	0.080093909961	0.447870660867	0.452812465163
</S>	0.0101909584067	0.00903726196595	0.0644622049805	0.383083330434	0.533226232582
