 	non	sapeva	dove	a	stare	</S>
e	0.7230595	0.22243655	0.00864372	0.007840365	0.014445275	0.02357415
n	0.486451166667	0.338588516667	0.0209723166667	0.0186735883333	0.052677925	0.0826365166667
ì	0.291890388889	0.501851172222	0.0296921055556	0.0208158427778	0.061878175	0.0938729722222
s	0.207173462963	0.532562724074	0.127392668519	0.0326538609259	0.0372012916667	0.0630167240741
s	0.128281887654	0.378540574691	0.30132122284	0.0849968869753	0.0383109972222	0.0685488080247
e	0.072533429218	0.27617585823	0.420521740947	0.102143595658	0.0386773657407	0.0899479026749
r	0.0431244430727	0.16527161941	0.474252913649	0.138334498553	0.0342725219136	0.144743967558
e	0.0254593476909	0.07629200647	0.495249637883	0.207387166184	0.0318292406379	0.163782655853
p	0.015516905897	0.0403567421567	0.371803945961	0.280751722061	0.154280580213	0.137289885284
u	0.00903123196567	0.0195666540522	0.19670371532	0.39633357402	0.232802526738	0.145561961761
n	0.00673695398856	0.0124619213507	0.119763605107	0.39558519134	0.317996842246	0.147455320587
a	0.00390024132952	0.00680503378357	0.0576130350357	0.262556730447	0.539364614082	0.129760440196
s	0.00227555444317	0.00339360192786	0.0254858050119	0.157133743482	0.678779538027	0.132931813399
t	0.00132874248106	0.00179568464262	0.0133458016706	0.099368714494	0.736569512676	0.147591604466
a	0.00173518116035	0.00185084488087	0.00982251055687	0.0738426381647	0.701042837559	0.211706201489
s	0.00179015138678	0.00177657762696	0.00777517351896	0.0695513460549	0.638660945853	0.280446067163
ì	0.00156463812893	0.00156817520899	0.00837395783965	0.0614233153516	0.597836981951	0.329233355721
</S>	0.00189060906447	0.00186296760449	0.0106738789198	0.0576184076758	0.571963490976	0.35599117786
