 	viene	fabbricato	</S>
è	0.7317255	0.1518275	0.11644675
r	0.594424833333	0.2680015	0.137573583333
k	0.384233611111	0.353613166667	0.262153194444
e	0.20979507037	0.406474055556	0.383731064815
t	0.124046523457	0.381689685185	0.494264021605
e	0.0810049411523	0.302881228395	0.616114007202
f	0.0479471470508	0.418102409465	0.533950669067
a	0.0283965490169	0.441553469822	0.530050223022
b	0.0196906296723	0.460372489941	0.519937074341
b	0.0153369898908	0.48627482998	0.498388358114
r	0.0316787299636	0.386276609993	0.582044786038
i	0.0387784433212	0.424269869998	0.536951595346
k	0.0371954477737	0.431663623333	0.531140865115
à	0.0362669159246	0.437986874444	0.525746288372
t	0.0245370386415	0.395714291481	0.579748762791
o	0.0209940128805	0.286469430494	0.692536587597
</S>	0.0236120064403	0.284906715247	0.691481293798
