 	il	abito	della	sposa	corassi	si	chiama	la	sposa	ee	ee	vuole	bianco	</S>
o	0.758503	0.09811085	0.0478118	0.014611195	0.004856	0.007911095	0.00251041	0.00443606	0.005949265	0.004342595	0.00523052	0.005432205	0.022330225	0.01796442
à	0.537750333333	0.185303283333	0.117925233333	0.0271420316667	0.01330846	0.015572065	0.00361559	0.00981873	0.009783855	0.005928395	0.00675410333333	0.00686297166667	0.0316724416667	0.0285623733333
b	0.287622611111	0.240615094444	0.271451411111	0.0337296438889	0.0317561866667	0.0194255883333	0.00448027666667	0.0153642766667	0.013486585	0.00714836166667	0.00574773444444	0.00518664722222	0.0292445138889	0.0347413244444
b	0.135131337037	0.255776031481	0.347487803704	0.0523937812963	0.0596180955556	0.0273321961111	0.00818472888889	0.0249824255556	0.0176541283333	0.00861362055556	0.00538438814815	0.00464272907407	0.0224719046296	0.0303270414815
e	0.092190245679	0.215509343827	0.383089267901	0.0678284937654	0.0818129985185	0.0339836653704	0.0114941762963	0.0335763085185	0.0189502427778	0.0102738035185	0.00703101604938	0.00666015969136	0.0167234015432	0.0208768471605
t	0.071864481893	0.123401081276	0.3950050893	0.0848152312551	0.0972662661728	0.0542089217901	0.0171535920988	0.0543059361728	0.0274811142593	0.0164618345062	0.00985816534979	0.00976920323045	0.0188998338477	0.0195092823868
o	0.0507486939643	0.075528427092	0.347033029767	0.095078077085	0.140363755391	0.0626067405967	0.0220365973663	0.0651311120576	0.0362143714198	0.0236241448354	0.0121491551166	0.0114857344101	0.0228922446159	0.0351079607956
à	0.0520429646548	0.0739960756973	0.368801676589	0.0831642590283	0.16089258513	0.0414312135322	0.0228212657888	0.0467004706859	0.0320301571399	0.0246259149451	0.0122794850389	0.00967854147003	0.0221309815386	0.0494041869319
t	0.0475709882183	0.0630375585658	0.313449892196	0.103828986343	0.15270386171	0.0537543711774	0.0340548552629	0.0555783568953	0.0434231190466	0.031795538315	0.0133910616796	0.00857094382334	0.0209603605129	0.0578796623106
t	0.0299233960728	0.0373752861886	0.191399964065	0.136366995448	0.158807953903	0.0901163903925	0.0472485850876	0.0880300856318	0.0725789396822	0.0469593794383	0.0148521538932	0.0107171812744	0.0207462868376	0.0548773541035
o	0.0238628986909	0.0291585287295	0.136826321355	0.167137998483	0.175046984634	0.0983442301308	0.0559139283625	0.0912644952106	0.0739241798941	0.0481988931461	0.0150521846311	0.0112049104248	0.0198024289459	0.0542621513678
k	0.0178037395636	0.0226020762432	0.096507873785	0.185111332828	0.153609028211	0.11521817671	0.0785388094542	0.0866344317369	0.0759062599647	0.0548260310487	0.016843794877	0.0137369534749	0.019760542982	0.0629008837893
o	0.0149361198545	0.0187953587477	0.0639343912617	0.193716777609	0.126927042737	0.13494472557	0.0920519364847	0.0918578772456	0.0807407866549	0.0591984103496	0.017846864959	0.0151328844916	0.0232957476607	0.0666206279298
r	0.0146644066182	0.0172586529159	0.0525086304206	0.187477259203	0.123463414246	0.134516241857	0.0881012454949	0.106279892415	0.0801857955516	0.0578144034499	0.0192941549863	0.0132767281639	0.0286135492202	0.0765452759766
à	0.0120163355394	0.0155865843053	0.0459812768069	0.176698086401	0.115185204749	0.144589080619	0.111250681832	0.120354297472	0.0791411985172	0.05578190115	0.0187028516621	0.0109964727213	0.0246839830734	0.0690319586589
s	0.00991614184647	0.0139066081018	0.0403756256023	0.172995362134	0.104602834916	0.150298026873	0.120570960611	0.119798099157	0.0860648328391	0.0672055003833	0.0248440172207	0.0129959209071	0.0162610943578	0.060164819553
i	0.00862419061549	0.0112766827006	0.0304952752008	0.147186787378	0.0857257116387	0.146448342291	0.0976082202037	0.137595366386	0.11928194428	0.101755833461	0.0315360724069	0.015671706969	0.0116345147859	0.055159639851
k	0.00754411020516	0.0122276609002	0.0306852584003	0.129316929126	0.0811972372129	0.137964114097	0.0899839734012	0.134659755462	0.127202648093	0.109365044487	0.0328079908023	0.0190912689897	0.0124469215953	0.075507746617
o	0.00710998673505	0.0121085869667	0.0269842861334	0.106513843042	0.0645642457376	0.127821704699	0.0827240911337	0.126695551821	0.149745882698	0.131588448162	0.0386250636008	0.0223049896632	0.0142846738651	0.088929515539
r	0.00697987557835	0.00928622232223	0.0183411620445	0.0732015143473	0.0396173819125	0.113736701566	0.0711292303779	0.13263818394	0.184994294233	0.169484816054	0.0515350878669	0.0304954632211	0.0159014246217	0.0826592051797
à	0.00543572185945	0.00769066744074	0.0149156873482	0.0636007381158	0.0322536606375	0.112565367189	0.0815442434593	0.13600372798	0.184578098078	0.172397605351	0.059381529289	0.0381472877404	0.0158464748739	0.0756392017266
s	0.00422497395315	0.00690454248025	0.0136079291161	0.0680568460386	0.0324518868792	0.12017045573	0.0876418811531	0.135738575993	0.171727032693	0.16104086845	0.062685809763	0.0393844959135	0.0180856582913	0.0782787672422
i	0.00451000131772	0.00656831749342	0.0134005430387	0.0566777153462	0.0272222289597	0.0988029185767	0.070048227051	0.114247658664	0.162143677564	0.167216622817	0.107431236588	0.0622034319712	0.0193921860971	0.0901350224141
s	0.00481490043924	0.00640358916447	0.0129628810129	0.0421856051154	0.0210219763199	0.0754930061922	0.0614040756837	0.0954101195547	0.158063892521	0.171498207606	0.134554078863	0.0806516106571	0.0279455953657	0.107590440805
i	0.00511147014641	0.00641230305482	0.0122884603376	0.0350389683718	0.01706022544	0.0614753687307	0.0547655252279	0.0765747398516	0.140352964174	0.154783735869	0.153726692954	0.104044336886	0.0394007317886	0.138964146935
e	0.00577969671547	0.00668213768494	0.0127692534459	0.0276283894573	0.0150409751467	0.0439269895769	0.0432452084093	0.0604769132839	0.119924321391	0.14122124529	0.190800230985	0.140238445629	0.0447784105962	0.147487382312
e	0.00582537557182	0.00658536256165	0.012459784482	0.0245075631524	0.0137631583822	0.0370961965256	0.0379630694698	0.0536016710946	0.10835770713	0.129304415097	0.197652743662	0.159721148543	0.0605952368654	0.152566794104
e	0.00576104852394	0.00643457085388	0.0120303281607	0.0223697877175	0.0127963861274	0.0321881321752	0.0324120898233	0.0465523236982	0.09241773571	0.111231071699	0.195227581221	0.171891382848	0.0924543122885	0.166233598035
e	0.00569577284131	0.00626910361796	0.0113282093869	0.0203352292392	0.0117387953758	0.0278199773917	0.0262951632744	0.0390387412327	0.0755155452367	0.0912423238997	0.183204527074	0.174663794283	0.145246770763	0.181606199345
e	0.00551779428044	0.00598599453932	0.0102930397956	0.0181250097464	0.0104897417919	0.0238547924639	0.0206149877581	0.0321083137442	0.0606581150789	0.0730010079666	0.160136842358	0.162220264761	0.224674590254	0.192319733115
t	0.00416489142681	0.00460689817977	0.0079310432652	0.0160622032488	0.00871577393063	0.0244341308213	0.0202962292527	0.0325963379147	0.0603325383596	0.0689568359889	0.130052380786	0.163519421587	0.289408863418	0.168922577705
è	0.00262925714227	0.00304727605992	0.00552278442173	0.0129981510829	0.00654591464354	0.0220344769404	0.0170535430842	0.0295450126382	0.0524113127865	0.0571900119963	0.0873340935953	0.128651073862	0.414864287806	0.160172859235
l	0.00210073238076	0.00271292868664	0.00419358814058	0.013758400361	0.00680342154785	0.0218862256468	0.0161796143614	0.0251583708794	0.0402208042622	0.0412126039988	0.0594767311984	0.108445624621	0.510879429269	0.146971519745
i	0.00252367746025	0.00313279622888	0.00370216271353	0.0129324001203	0.00676069718262	0.0197177785489	0.0152557447871	0.0201141436265	0.0309150114207	0.0303043513329	0.0437953437328	0.0951264748737	0.586238476423	0.129480739915
à	0.00263796248675	0.00292495207629	0.00336382757118	0.00740226337343	0.00434893906087	0.010089896183	0.00715153492903	0.0102994145422	0.0159938938069	0.0162338337776	0.0248965479109	0.0444981582912	0.662492825474	0.187665579972
s	0.00165598882892	0.0018207486921	0.00230749252373	0.00460372112448	0.00265810968696	0.006223922061	0.00458236164301	0.0071536848474	0.0125983779356	0.0138207112592	0.024036182637	0.0358042860971	0.694212608491	0.188521526657
p	0.00178396760964	0.00202477089737	0.00370165084124	0.00580311037483	0.00380279322899	0.00708156402033	0.00476117054767	0.00854602828247	0.0140281259785	0.0164137704197	0.032015860879	0.051544328699	0.636577869497	0.211914842219
r	0.00298946253655	0.00333963363246	0.00571394361375	0.00908903679161	0.005756607743	0.0112706213401	0.00603377351589	0.0137495427608	0.0212155753262	0.0234779568066	0.038635920293	0.0645442428997	0.529749289832	0.26443428074
o	0.00436965084552	0.00482954454415	0.00550095120458	0.00849165893054	0.00528905924767	0.01050883378	0.00671729117196	0.0124781075869	0.0197947017754	0.0210240356022	0.031756173431	0.0538875142999	0.512297096611	0.30305509358
</S>	0.00513406042276	0.00571991727207	0.00521438060229	0.00688799946527	0.00468662962384	0.00766655689	0.00652144058598	0.00836474379345	0.0129567158877	0.0139822928011	0.0232003867155	0.0436903071499	0.500272048305	0.35570204679
