 	ho	rotto	una	bottiglia	</S>
è	0.727895	0.04270965	0.05943615	0.11243345	0.0575258
g	0.50449	0.131584683333	0.0972803833333	0.132692216667	0.133952466667
l	0.358833333333	0.223305561111	0.153332794444	0.110398472222	0.154129555556
a	0.254655777778	0.369007853704	0.179927931481	0.0988409907407	0.0975673851853
s	0.149860925926	0.531728617901	0.163398643827	0.0704857969136	0.0845261283951
a	0.101256941975	0.572711205967	0.188452547942	0.0529119323045	0.0846676761317
m	0.0635107806583	0.445415401989	0.299717849314	0.0600620107682	0.131293992044
i	0.0513461602194	0.25742446733	0.341639283105	0.0862150035894	0.263374997348
a	0.0618514534065	0.175084155777	0.338263427702	0.104842001196	0.319958999116
b	0.0439925178022	0.108727551926	0.292757475901	0.323116333732	0.231406199705
u	0.0335740726007	0.0814736839753	0.177561491967	0.450011444577	0.257379599902
t	0.0301420375336	0.0650115813251	0.115972097322	0.502622148192	0.286252533301
t	0.0174325591779	0.0335563804417	0.0732020991073	0.545263716064	0.330545177767
ì	0.014341329726	0.0267724934806	0.0562171997024	0.546720238688	0.355948392589
g	0.007977603242	0.0194716978269	0.0499677999008	0.708175746229	0.21440699753
l	0.018091084414	0.025475232609	0.0690282999669	0.621102248743	0.266303199177
i	0.0298748614713	0.0322561775363	0.069583099989	0.424803749581	0.443482399726
a	0.0240289204904	0.0242348925121	0.042816366663	0.402710583194	0.506209466575
</S>	0.0194173602452	0.019377546256	0.0339176833315	0.423902291597	0.503385233287
