 	non	mangiare	la	sera	</S>
m	0.6207785	0.10967845	0.039342485	0.05532008	0.174879835
i	0.374207833333	0.20954315	0.0647598283333	0.08903636	0.262451945
f	0.203540377778	0.24896605	0.244500876111	0.08499862	0.217993648333
a	0.100037259259	0.240711016667	0.422775958704	0.0777562733333	0.158719549444
i	0.0740878530863	0.193409972222	0.462808986235	0.0999833244444	0.169709849815
o	0.0604994843621	0.116511257407	0.458076995412	0.151528108148	0.213384283272
v	0.040381651454	0.0708645858023	0.332525331804	0.371755369383	0.184473127757
r	0.0181285404847	0.0378431952674	0.198840777268	0.565446789794	0.179740409252
à	0.0108609601616	0.0251662317558	0.118724559089	0.635435929931	0.209812136417
i	0.0082190633872	0.0160187105853	0.066385386363	0.69858464331	0.210792378806
</S>	0.0089624266936	0.0130167552927	0.0486775431815	0.700571321655	0.228772189403
