 	ha	che	sono	usciti	</S>
è	0.7321395	0.12141715	0.023643375	0.0534081	0.0693914
n	0.4673345	0.224663716667	0.044240425	0.0814634666667	0.1822978
a	0.218889233333	0.322906238889	0.140530308333	0.109955855556	0.207718466667
g	0.096634611111	0.283522412963	0.303605769444	0.119942285185	0.196294688889
u	0.045363337037	0.154961937654	0.339477256481	0.191354428395	0.268842896296
ì	0.0227394390123	0.0776524125513	0.224590718827	0.422621809465	0.252395632099
k	0.0122173996708	0.0384801375171	0.138158872942	0.546765603155	0.264377877366
a	0.0100991265569	0.0242767125057	0.0926650576473	0.520544534385	0.352414292455
n	0.00765862551897	0.0158210875019	0.0595927525491	0.513953178128	0.402974097485
e	0.00693195850632	0.011182845834	0.0470331175164	0.463792392709	0.471059699162
</S>	0.00890132925316	0.011594822917	0.0375394087582	0.418280196354	0.523684349581
