 	è	che	sono	usciti	</S>
è	0.754903	0.0944654	0.0230906	0.0522442	0.0752965
n	0.519679333333	0.183336133333	0.0408425333333	0.0765086333333	0.179633166667
a	0.270719411111	0.333579377778	0.0991697777778	0.100171211111	0.196359888889
g	0.119602403704	0.328585459259	0.250039925926	0.11121297037	0.190558796296
u	0.0545547679013	0.177953553086	0.333156308642	0.169012223457	0.265322932099
ì	0.0287150826338	0.0936368510287	0.249567436214	0.375862074486	0.252218644033
k	0.0151982042113	0.0478444503429	0.164448812071	0.503993691495	0.268514881344
a	0.0111469514038	0.029366616781	0.10603867069	0.507317230498	0.346130627115
n	0.00799281046793	0.0179106722603	0.0671140235633	0.519505076833	0.387477875705
e	0.00689376348931	0.0118094574201	0.0517454411878	0.471702025611	0.457849625235
</S>	0.00859518174465	0.01190972871	0.0388922705939	0.427894512806	0.512708312618
