 	non	ho	cosa	a	fare	</S>
e	0.810316	0.10417865	0.0219389	0.00800662	0.02119173	0.034368
n	0.540179	0.181147883333	0.0730827333333	0.0321085733333	0.0524229433333	0.121058866667
è	0.295608333333	0.335814627778	0.130878911111	0.0422620911111	0.0582006144444	0.137235288889
c	0.202061077778	0.401127209259	0.23359897037	0.0486235303704	0.0395465714815	0.0750424962963
h	0.119068159259	0.276995069753	0.411306323457	0.0800541434568	0.0411096238272	0.0714668654321
o	0.066413919753	0.159040056584	0.575030107819	0.0922893478189	0.0376573412757	0.069569455144
t	0.0353904399177	0.0911977521947	0.510483369273	0.154472082606	0.0423899470919	0.166066685048
i	0.0226767466392	0.0517892173982	0.274182456424	0.342285694202	0.0856790490306	0.223387228349
k	0.0130078422131	0.0279767391327	0.136448518808	0.413112898067	0.23274468301	0.176709742783
à	0.0073644107377	0.0172270463776	0.0740123062693	0.319882299356	0.416786561003	0.164727914261
m	0.00688139691257	0.0152803487925	0.0496121687564	0.269083766452	0.474142187001	0.185000638087
i	0.00810716230419	0.0135591195975	0.0320844329188	0.186933088817	0.554432395667	0.204884212696
</S>	0.0086402911521	0.0107481647988	0.0203518314594	0.116201294408	0.647638697834	0.196420106348
