 	vuole	andare	a	Lecce	</S>
i	0.8996185	0.0477012	0.01166788	0.00893537	0.032077075
t	0.634723166667	0.217618666667	0.02003606	0.0270492566667	0.100573025
è	0.385069722222	0.448689222222	0.0215336866667	0.0313071688889	0.113400341667
l	0.266694207407	0.492027740741	0.0640336288889	0.0550313396296	0.122213113889
i	0.138990969136	0.486650246914	0.10627420963	0.0736616132099	0.194423037963
n	0.077331689712	0.442900415638	0.223506069877	0.07391437107	0.182347345988
a	0.042977529904	0.273357871879	0.416061356626	0.0914162570233	0.176186781996
p	0.0249842333013	0.12408102396	0.391717118875	0.316061885674	0.143155793999
à	0.0128218011004	0.0625331079867	0.352559039625	0.472971295225	0.0991147979997
i	0.0110015870335	0.0412896693289	0.345050346542	0.495989765075	0.106668799333
L	0.00671739901117	0.0218548231096	0.230168782181	0.664281921692	0.076977233111
u	0.00567847967039	0.0150489410365	0.14101239406	0.638541973897	0.199718177704
p	0.0050937345568	0.0108211536788	0.10431459802	0.630372991299	0.249397325901
p	0.00263203951893	0.00773574122627	0.0929602326733	0.698689663766	0.197982041967
ì	0.00248380650631	0.00801342374209	0.0654994775578	0.565657554589	0.358345680656
u	0.00465250883544	0.00850305791403	0.0508276258526	0.392047518196	0.543969226885
n	0.00505668627848	0.00901978597134	0.0730049752842	0.433088839399	0.479829742295
a	0.00663888209283	0.0102331386571	0.0766985250947	0.459755613133	0.446673914098
</S>	0.00993404104641	0.0109970193285	0.0570835625474	0.376623806566	0.545361457049
