 	i	bambini	non	si	vestono	da	soli	</S>
t	0.7715005	0.1482541	0.010589775	0.00419627	0.004477225	0.00816479	0.03133474	0.02148247
a	0.555217166667	0.292171033333	0.0212974916667	0.0111262866667	0.00866935166667	0.01301323	0.0628532466667	0.03565199
p	0.314534055556	0.362983344444	0.0535585972222	0.0242748622222	0.0176755172222	0.0164442766667	0.119334248889	0.09119493
e	0.203190351852	0.387741781481	0.0696836990741	0.0338848540741	0.0207218390741	0.0184421255556	0.14145374963	0.124881876667
t	0.159159550617	0.34463192716	0.0970103996914	0.0436646180247	0.0248831130247	0.0194344418519	0.15457258321	0.156643858889
ì	0.129281950206	0.39651197572	0.114255666564	0.0408602726749	0.0240417676749	0.016366047284	0.129932527737	0.148749786296
a	0.127213983402	0.422102991907	0.170630088855	0.0516114908916	0.0228023525583	0.0185477157613	0.078001442579	0.109089762099
e	0.106043194467	0.235994663969	0.274298029618	0.113498530297	0.0514972841861	0.0240510719204	0.076017614193	0.118599587366
n	0.0706279648223	0.127601121323	0.262996676539	0.204971176766	0.134336628062	0.0200771906401	0.0668571380643	0.112532195789
i	0.0510458882741	0.0816920071077	0.231975558846	0.277629725589	0.181597209354	0.0145914302134	0.0595242126881	0.101944165263
n	0.041658762758	0.0587396690359	0.204648519615	0.297288575196	0.227264069785	0.0211874434045	0.0604508375627	0.0887623550877
d	0.033927187586	0.043166023012	0.157030839872	0.287518525065	0.251172689928	0.0428025144682	0.0647250458542	0.119657318363
ì	0.0316626625287	0.040877941004	0.138391946624	0.319167508355	0.255101563309	0.0535354714894	0.0458363852847	0.115426472788
n	0.0189858875096	0.0301882470013	0.148020648875	0.309478169452	0.26882818777	0.0415577571631	0.0308953317616	0.152045524263
n	0.0173942291699	0.0243809156671	0.135883649625	0.251852723151	0.266905729257	0.0390717190544	0.0436111772539	0.220899508088
o	0.0207380097233	0.023757671889	0.082872249875	0.215271907717	0.281813909752	0.105975773018	0.0598952590846	0.209674836029
t	0.0202984365744	0.021569623963	0.0502280832917	0.172689302572	0.248687636584	0.154323591006	0.0676973196949	0.26450561201
t	0.0166037121915	0.017265741321	0.0337206277639	0.127521134191	0.188941212195	0.194433197002	0.0808672732316	0.340646537337
e	0.0142558040638	0.0148362137737	0.0220478759213	0.078235911397	0.125840037398	0.268000065667	0.117857757744	0.358925512446
m	0.0113361446879	0.0128758245912	0.0395765586404	0.0786681371323	0.119647312466	0.301991355222	0.139820252581	0.296083837482
a	0.0105900915626	0.0123810281971	0.0453562862135	0.0741478457108	0.107099404155	0.260426785074	0.18525575086	0.304742612494
n	0.00937893718753	0.010249339399	0.0323829620712	0.0532431819036	0.0746970347183	0.205916595025	0.307338916953	0.306793204165
e	0.00710675239584	0.007440393133	0.0258373640237	0.0417212939679	0.0569391782394	0.155065331675	0.436008305651	0.269881734722
c	0.00589430079861	0.00639460437767	0.0200882980079	0.0359547979893	0.0508040594131	0.126595910558	0.515189101884	0.239079244907
h	0.00530027693287	0.00579608479256	0.0184440226693	0.0353042993298	0.0482068531377	0.127473836853	0.541091367295	0.218383414969
à	0.00498765231096	0.00493963493085	0.0100257142231	0.0192683964433	0.0245014677126	0.0771570122843	0.634550122432	0.224570138323
t	0.00260354410365	0.00245140831028	0.00460979474103	0.0096954654811	0.0127994292375	0.0398310707614	0.748914374144	0.179095046108
u	0.00269333136788	0.00208575610343	0.00314475491368	0.0057394784937	0.0081130764125	0.0255424902538	0.772845458048	0.179835348703
</S>	0.00339445068394	0.00238823305171	0.00315600245684	0.00470096924685	0.00712770320625	0.0186211451269	0.774772729024	0.185838174352
