 	che	non	li	aspetiamo	</S>
n	0.8268505	0.07728022	0.013094075	0.033092245	0.04968327
a	0.6760485	0.17193074	0.020315625	0.066144215	0.0655612566667
m	0.4105275	0.182600213333	0.180799375	0.0706853383333	0.155387518889
i	0.1930765	0.219818037778	0.332278791667	0.0580164794444	0.19681023963
t	0.121431766667	0.233013312593	0.327991263889	0.0761229264815	0.24144081321
u	0.0834151222223	0.159086070864	0.395629087963	0.100878975494	0.260990604403
s	0.0646077407408	0.117810090288	0.350552029321	0.194108991831	0.272920868134
m	0.0316723802469	0.0828811634293	0.294569343107	0.221222663944	0.369653956045
ì	0.0273910600823	0.0823552878098	0.404770114369	0.144549554648	0.340933652015
n	0.0284244200274	0.0771763959366	0.39873470479	0.130818851549	0.364845550672
o	0.0224977400091	0.0604508986455	0.242602068263	0.31957228385	0.354876850224
m	0.014684420003	0.0332590662152	0.122611022754	0.459695761283	0.369749616741
e	0.0112202466677	0.0215635554051	0.070839940918	0.494392920428	0.40198320558
</S>	0.0123721733338	0.0184408777025	0.044384120459	0.573187960214	0.35161460279
