 	vengono	vestiti	</S>
è	0.9389359	0.0270345785	0.034029483
r	0.9600236	0.0183213678333	0.021655001
k	0.9335113	0.0271679566111	0.0393207276667
u	0.643562586667	0.30163431687	0.0548031265556
t	0.268149612222	0.653071085623	0.0787793528519
t	0.117700432407	0.746084581874	0.136215050951
e	0.0609902407023	0.754787030625	0.184222796984
n	0.0238467264008	0.678134860208	0.298018462328
d	0.0281732724003	0.548653793403	0.423172987443
i	0.0393149781334	0.356413294468	0.604271762481
m	0.0255948208778	0.144928032989	0.82947715416
è	0.133035076793	0.075169279163	0.791795641387
n	0.183844267598	0.0679097430543	0.748245983796
a	0.082123362866	0.0892581343514	0.828618507932
</S>	0.047255898933	0.115622257176	0.837121853966
