 	vado	vestito	</S>
i	0.65671838	0.25357047	0.08971117
p	0.755008743333	0.149429623333	0.0955616266667
à	0.761645351111	0.113516299444	0.124838332222
o	0.51972431037	0.364282291481	0.115993414074
n	0.211514494123	0.693419570494	0.0950659166913
d	0.184709115374	0.604047976831	0.211242850897
i	0.181197968458	0.409935992277	0.408865996966
m	0.077488793486	0.350762144092	0.571749052322
è	0.122168071829	0.340336228031	0.537495687441
n	0.140471090943	0.294085459344	0.565443445814
o	0.0546615873143	0.178296434448	0.767041991938
</S>	0.0319953286571	0.136220214224	0.831784460969
