 	sono	vestita	</S>
ì	0.80275263	0.133934345	0.063312987
m	0.894574743333	0.0559591183333	0.0494661223333
e	0.630327701111	0.311626236111	0.0580460741111
n	0.26662989037	0.616493168704	0.116876964704
d	0.29871506679	0.486853849568	0.214431131568
i	0.286185020263	0.263601833189	0.450213190523
m	0.103569176454	0.148834612396	0.747596216841
è	0.171629057185	0.100605094132	0.727765838947
n	0.206604385728	0.085740595044	0.707655012982
i	0.105563468576	0.0836546466813	0.810781880994
</S>	0.088130534288	0.102352068341	0.809517405497
