 	dei	genitori	</S>
à	0.77802925	0.0815656825	0.1404050795
t	0.865587783333	0.0677431608333	0.0666690761667
t	0.871355974444	0.0730979719444	0.0555460320556
u	0.606387371481	0.301995253981	0.0916173506852
s	0.250614914894	0.65211188466	0.0972731902284
g	0.0930190443647	0.828491104887	0.0784898467428
e	0.0402011001216	0.881511444962	0.0782874255809
n	0.0144104321205	0.648901821654	0.33668771186
i	0.00645484358683	0.421455773885	0.57208938062
t	0.00371158497561	0.314759223295	0.68152919354
ò	0.00437179863854	0.167804956432	0.827823264513
r	0.00503493224618	0.108440350144	0.886524734838
u	0.0166366791154	0.0445985283813	0.938764791613
</S>	0.0298213495577	0.0288238996906	0.941354745806
