 	ha	che	sono	usciti	</S>
è	0.59534865	0.204265055	0.108546065	0.0472978445	0.044542415
n	0.457724803333	0.381004998333	0.102809683333	0.0185427827	0.0399177403333
a	0.240333497778	0.578566346111	0.122515749444	0.0206834844333	0.0379009027778
g	0.0976760360927	0.56357406537	0.264905293148	0.0233196993444	0.0505248992593
u	0.0455550111976	0.353026998457	0.442089751049	0.100009182315	0.0593190630864
ì	0.0277521590659	0.164754605152	0.618500283683	0.136511994105	0.0524809536955
k	0.0139133445886	0.0662734120507	0.761868461228	0.082261898035	0.0756829172318
a	0.00708639926287	0.0283079106836	0.528619675743	0.275932022678	0.160054035744
n	0.00390063582096	0.0126050745812	0.190108252581	0.480703464226	0.312682571915
e	0.00207202217365	0.00519407724707	0.0717299021937	0.366487421409	0.554516550638
</S>	0.00162093608683	0.00363977367354	0.0424550200968	0.247066060704	0.705218175319
