 	se	la	pasta	voleva	sale	lo	avevo	messo	</S>
s	0.50696915	0.312630615	0.045122958	0.0233114535	0.025614985	0.01991790975	0.0208789435	0.024403927	0.02115001
e	0.315435336667	0.449847048333	0.0843146326667	0.0264484318333	0.0261226973333	0.0233654505833	0.0244428238333	0.0255071976667	0.0245163333333
t	0.150800282722	0.500562949444	0.147724970889	0.0258179499444	0.0346474747778	0.0283276528611	0.0372570799444	0.0376578365556	0.0372037554444
i	0.0670088104073	0.411704029815	0.29717913363	0.0299570009815	0.0380860569259	0.0303869049537	0.0418612756481	0.0420468321852	0.0417699084815
p	0.0379687215691	0.259517608605	0.450458297877	0.0360337046605	0.034020697642	0.0277744223179	0.053825474216	0.0478397807284	0.0525612928272
à	0.013616162523	0.152822041535	0.557991999292	0.0648934302202	0.032533400214	0.0210649914393	0.0561923904053	0.0467734152428	0.0541121959424
s	0.00633718180767	0.141483860512	0.598474583097	0.137296645407	0.026232529738	0.00998936027977	0.0292831994684	0.0232080322476	0.0276945933141
t	0.00368180916922	0.119735591837	0.588707577699	0.181477881802	0.0331868905793	0.00663691022659	0.0271859621561	0.0163234312492	0.0230638941047
a	0.00258579572307	0.0507553166123	0.439382042566	0.325477293934	0.0803189021931	0.0207891410755	0.0320331847187	0.0210598044164	0.0275985073682
ì	0.00194827875769	0.0206975141041	0.201872927522	0.570113431311	0.116833377398	0.0244037128918	0.0238720625729	0.0185475478055	0.0217111537894
t	0.00079837596923	0.0087010555347	0.102385096841	0.672877777104	0.147223402466	0.0122477928306	0.0226438778576	0.0141735116018	0.0189491132631
e	0.000738932889743	0.0041090565449	0.0404630294137	0.484491689035	0.332414280822	0.0723583536102	0.0257533116192	0.0177202615339	0.0219511110877
l	0.000694657805914	0.0022132455483	0.0146569804379	0.207071229678	0.490041863607	0.168380591203	0.0404830028731	0.0376441165113	0.0388143316959
e	0.000370677631305	0.0011493111161	0.00578119449263	0.081997230326	0.453923704536	0.321509497068	0.0461923646244	0.0447627081704	0.0443133398986
à	0.000262778843202	0.000559681065367	0.00215975551088	0.0310478124087	0.502687781512	0.352168912356	0.0435477712081	0.0349557300568	0.0326097839662
l	9.17432811673e-05	0.000305231621789	0.00158106827029	0.0156664533362	0.571373773837	0.267138834119	0.0577854144027	0.0478902113523	0.0381672783221
a	0.000102927897722	0.000249173857263	0.0012569482801	0.00813702192207	0.378960225279	0.441766161373	0.0653065714676	0.0623952217841	0.0418258021074
t	0.000106064374141	0.000244914952421	0.000765207483367	0.00315879608402	0.14501708476	0.669455687124	0.0579064421559	0.0725417885947	0.0508040723691
o	4.54614976137e-05	0.000267989087474	0.000667472351122	0.00153524138134	0.0590321920867	0.638742795708	0.0805615723853	0.135826026198	0.083321284123
n	4.33047895379e-05	0.000262287422491	0.00112092530704	0.00106260151378	0.0461939188622	0.400773975236	0.0994746274618	0.311791658733	0.139276714708
ì	4.0459864846e-05	0.00019389945083	0.00166106846901	0.00179286240459	0.0483885182874	0.170569862079	0.241087582487	0.411356869578	0.124908867569
c	0.000124622030949	0.000351058846943	0.00423343005634	0.00596066503486	0.0334557817625	0.0803447883597	0.275398645829	0.448532773193	0.15159822519
h	0.000148013517316	0.000417292208981	0.00507594415211	0.00670653071162	0.0204988730875	0.0538802707866	0.227177476943	0.518351541064	0.167744073397
a	5.26917684387e-05	0.000304327352994	0.00242920618404	0.00278758075054	0.00932954712917	0.0274551979289	0.320153385648	0.524412663688	0.113075407466
v	3.19513928129e-05	0.000384045007665	0.00172444639468	0.00168379109685	0.00412853837639	0.0125286299763	0.257875475216	0.581557301229	0.140085823822
à	2.94252986043e-05	0.000315781741222	0.00158126623156	0.00150128406562	0.00251421840546	0.0062402698921	0.166521271739	0.68349096041	0.137805505941
l	0.000134675222868	0.000298108552407	0.00408672784385	0.00292000125521	0.00312422068182	0.0032075242307	0.110649887913	0.69876288347	0.17681594998
o	0.000166192349823	0.000384633250802	0.00498941661462	0.00325684828507	0.00326063879394	0.00183316753023	0.067328019971	0.60794754449	0.310833573327
n	7.1346282141e-05	0.000309442903601	0.00263925100487	0.00140831564502	0.00167346426465	0.000900407576743	0.0525208269903	0.638704881497	0.301772074442
t	7.0733666047e-05	0.000873310787867	0.00362241853496	0.00221190446501	0.00210331892155	0.00118417923891	0.11861511933	0.585450337166	0.285868644814
a	0.000366347784016	0.00248934116262	0.037519639245	0.009565247155	0.0107825877072	0.00138091687964	0.147371620443	0.468957055722	0.321567258271
</S>	0.000647609592008	0.00349326308131	0.0699741271225	0.0155737400775	0.0187034353536	0.00093941453982	0.0913642312215	0.504511477861	0.294792754135
