 	devo	comprare	il	pane	ogni	giorno	</S>
è	0.81728615	0.077308841	0.0213391915	0.01598533015	0.020027459	0.027430934	0.0206221045
n	0.748763516667	0.162294302333	0.0153145505	0.0132447868167	0.0189302293333	0.022626327	0.0188263318333
a	0.499601658889	0.381281684111	0.0334914545	0.0187061336056	0.0218315904444	0.0233917963333	0.0216956896111
v	0.23417474163	0.547182428037	0.0688326815	0.0362843605352	0.0375897744815	0.0385102031111	0.0374257532037
o	0.0988339535433	0.499654209346	0.194882607167	0.0543614235117	0.0507053414938	0.051267031037	0.0502953827346
r	0.0515293455144	0.430720813115	0.332873845722	0.0525938231706	0.0442322758313	0.0446583793457	0.0433914559115
à	0.0455827565048	0.387576234372	0.382963031907	0.0546487530569	0.0437379482771	0.0465227607819	0.0389684869705
s	0.0429079444016	0.394914898124	0.388824047302	0.055921251019	0.0399729510924	0.0441595899273	0.0332993536568
o	0.0154055004072	0.314291104375	0.453209502434	0.132094583673	0.0309087666975	0.0302042023091	0.0238863755523
t	0.00534011106907	0.117179261925	0.557408287478	0.247040861224	0.0286148132325	0.0239134454364	0.0205032238508
o	0.00196758426969	0.0436715784417	0.455275062493	0.404033953741	0.0429909230775	0.0268738944788	0.0251869686169
t	0.000761894464897	0.0176719501139	0.255109387498	0.594918071247	0.0633380843592	0.0366840174929	0.0315165088723
s	0.000595752709966	0.010347986338	0.183381252499	0.579485283749	0.0916202814531	0.0693272744976	0.0652420772908
o	0.000707853853322	0.00914662111267	0.1673868075	0.42412610125	0.168658470484	0.103935110166	0.126038995764
m	0.00104005506777	0.00515996763756	0.1037841337	0.254762040417	0.221795770161	0.273235593389	0.140222436921
ì	0.00285903538926	0.0108963164792	0.0641936257667	0.139202710139	0.33558912672	0.34492399113	0.102335163307
k	0.00334512516309	0.0132333812931	0.0579956499222	0.148312370046	0.45838395224	0.246448917043	0.072280579769
a	0.00173679991436	0.00564253606437	0.0407639736407	0.156620730015	0.521995937413	0.206996555681	0.066243447923
i	0.00112983409812	0.00284087342146	0.0269857382136	0.099776541005	0.477597562471	0.214180851894	0.177488554641
m	0.00118194376604	0.00177573234049	0.0108366816045	0.0436459584683	0.277639764157	0.363723793965	0.30119607488
è	0.00188385855535	0.00179710174683	0.0060503424015	0.0215483432894	0.157518388052	0.573133831322	0.23806804996
r	0.00197303503178	0.00143663804228	0.00402087145717	0.0130422357865	0.111053740017	0.745411330441	0.12306210332
i	0.00114783454059	0.00076051262076	0.00153774167572	0.0050791249855	0.0593831630057	0.695068330147	0.23702329944
</S>	0.000930009095295	0.00074840053038	0.00101672313786	0.00321097004275	0.0344313000028	0.569959615074	0.38970297972
