 	tu	le	hai	cucinati	le	verdure	</S>
e	0.59244665	0.33079479	0.021610161	0.0180130795	0.0092428656	0.0152256125	0.0126668455
s	0.326073345	0.537826073333	0.0463459893333	0.0240886771667	0.0277629265333	0.0107372608333	0.0271657471667
ù	0.163244093333	0.604254057778	0.106510586444	0.0401640347222	0.0453955068444	0.00840003604443	0.0320317570556
t	0.0842037014443	0.647159052593	0.142620995481	0.0431851879074	0.0544971892815	0.00685316184814	0.0214807763519
a	0.0486564331481	0.527344867531	0.300392578494	0.0468881733025	0.0455475144272	0.00950330101605	0.0216671464506
m	0.0370858030494	0.270973750844	0.439931839498	0.0859538011008	0.0916492514757	0.0131704833387	0.0612350638169
à	0.0233079590165	0.134097926615	0.499944523166	0.1476954437	0.109996033825	0.0114751526796	0.073482952939
r	0.0152535398055	0.073883336205	0.591943451055	0.208725381233	0.067371031275	0.00823615625987	0.0345870993797
e	0.00730827563517	0.0399423374017	0.513576257018	0.340304280411	0.0691499637583	0.00865798955329	0.0210608831932
t	0.00431204179506	0.0171679227339	0.317086482339	0.51451291347	0.106106331253	0.0121205705178	0.0286937130644
s	0.00219283944835	0.00697223484463	0.178095942446	0.60388710449	0.133831822084	0.0208183725059	0.0542016730215
e	0.00278343288278	0.00396553128154	0.100780343815	0.454560101497	0.156987112361	0.047297932502	0.23362554434
t	0.00235773757426	0.00206484337385	0.0394704875717	0.203015572499	0.293364040787	0.182953614167	0.27677371578
a	0.00095278557142	0.000917978371283	0.0160819171572	0.0971245761663	0.298076876929	0.407115624722	0.179730252927
l	0.000475571373807	0.000503666677761	0.00744846930907	0.0567110847221	0.401421278976	0.396764348241	0.136675578642
à	0.000209449859936	0.00017953240652	0.00260519188436	0.027102822074	0.435086689659	0.48228463608	0.052531685214
c	0.000105342132979	7.397815544e-05	0.000986314342787	0.0123846241913	0.276078126553	0.686043678693	0.024327929738
h	0.00019626347866	0.000528235211813	0.0157913929709	0.0497504870638	0.331975942184	0.565263179564	0.0364944965793
a	0.00288757963289	0.00147266103727	0.0267503179903	0.108983639021	0.316798504061	0.366357039855	0.176750275526
n	0.00373247557763	0.00134024440909	0.0151551609801	0.085573986907	0.302865891354	0.378123073285	0.213209168509
a	0.00192593282588	0.00112083446636	0.0074032339767	0.0313365235357	0.254897180451	0.355409377762	0.34790688617
</S>	0.00184867631294	0.00150471098318	0.00705039148835	0.0192391927679	0.160547165225	0.242730868881	0.567078943085
