 	lo	sentii	che	viene	</S>
t	0.85680616	0.026355939	0.0224511085	0.067026376	0.0273604905
o	0.622258006667	0.275974466333	0.0309228908333	0.0419766993333	0.0288680015
n	0.263970425556	0.357718246444	0.100253425944	0.111647789778	0.1664101525
ì	0.121792998519	0.247345579815	0.221150221981	0.159994889926	0.249716330833
k	0.13476392284	0.220023206605	0.302582223994	0.122009783309	0.220620853611
u	0.134925585613	0.132605022202	0.473004001331	0.090919831103	0.16854556287
s	0.057998629071	0.0885131120673	0.686783533777	0.085517933701	0.0811868459567
a	0.0228877488903	0.0631766986891	0.666087497926	0.188474524567	0.0593735743189
n	0.0103923013834	0.051466619263	0.450577669309	0.420733091522	0.066830323773
a	0.00551978121447	0.0236802527877	0.227866795103	0.660743063841	0.0821901112577
r	0.00381413554816	0.0141167276492	0.0903379940343	0.796762254614	0.0949689157526
t	0.00386838685939	0.00521761740307	0.0698550183448	0.677485058205	0.243573947251
i	0.00443133815313	0.00239870582102	0.0648963384483	0.377732782735	0.550540849084
</S>	0.00310315457657	0.00145566074051	0.0363656477242	0.235680126367	0.723395424542
