 	non	ci	dimentichiamo	mai	</S>
e	0.884392825	0.036743957	0.01003237115	0.0342712515	0.03455956
n	0.687469648333	0.192828952333	0.0110017544833	0.0460697505	0.062629842
è	0.381466839444	0.441148350778	0.0197012931611	0.0601206421667	0.097562824
n	0.189438296815	0.633537250259	0.0325843750537	0.0435457593889	0.100894318
a	0.105637242605	0.681938050086	0.0837232573512	0.0414190231296	0.087282456
a	0.074161082535	0.636059150029	0.140154809117	0.0808633943765	0.0687615886667
l	0.0452124271783	0.53067751001	0.233679833039	0.0852947971255	0.105135439556
l	0.0315630243928	0.40442719667	0.35582061768	0.0486518700418	0.159537283185
i	0.0255998821309	0.357454122223	0.281087205893	0.144390448681	0.191468307728
m	0.0247200097103	0.253172664074	0.386392875298	0.177111123894	0.158603299243
o	0.0184694429034	0.132378671358	0.450514325099	0.270195172298	0.128442393081
n	0.0142168721678	0.0745344744527	0.340838518366	0.392049184099	0.178360951027
i	0.00603008498927	0.0360172328176	0.261558195122	0.5424653647	0.153929117009
s	0.00279425006309	0.0164020179392	0.121983735374	0.7458354549	0.112984532336
t	0.00117076468436	0.0109704656464	0.090651037458	0.734892221633	0.162315507445
ù	0.000531731051453	0.0109927395488	0.0507889140527	0.798833787211	0.138852825815
m	0.000324862090484	0.0072706252396	0.0555723019176	0.861566075737	0.0752661202717
e	0.000901307610161	0.00899348946987	0.0613906623059	0.796410285246	0.132304238424
s	0.00111250226005	0.00958282781329	0.0272785479686	0.630359268415	0.331666832808
t	0.000718524310017	0.0116426932611	0.0139190378562	0.503612996138	0.470106740936
a	0.00231155960334	0.0431430804204	0.0108541044521	0.500005478713	0.443685790312
m	0.00270877387445	0.0458263348735	0.021987976984	0.345296050238	0.584180896771
à	0.00141026649815	0.0176000061578	0.0302791256613	0.231186447413	0.719524208924
i	0.00153681369938	0.00876242688593	0.0176854985538	0.204423775804	0.767591512975
</S>	0.00182705784969	0.00603976599297	0.0103945492769	0.133307917902	0.848430706487
