 	l	ha	scritta	</S>
t	0.8801779	0.046057685	0.037249985	0.03651443
o	0.670897706667	0.215857981667	0.0574784883333	0.05576583
è	0.311923415556	0.541985937222	0.0811349627778	0.0649556766667
g	0.111162525185	0.729338499074	0.116359067593	0.0431398788889
r	0.044631052395	0.786730719691	0.133006337531	0.0356318762963
a	0.0262338031317	0.572081686564	0.310888784177	0.0907957254321
t	0.0162668877772	0.222037664521	0.640039011392	0.121656438477
s	0.00784561875907	0.0864184718403	0.727588203797	0.178147706159
e	0.00739070068636	0.0459714786134	0.491493489599	0.455144342053
</S>	0.00768680534318	0.0354153793067	0.3023355773	0.654562271026
