 	devo	comprare	il	pane	ogni	giorno	</S>
è	0.81728615	0.077308841	0.0213391915	0.01598533015	0.020027459	0.027430934	0.0206221045
n	0.748763516667	0.162294302333	0.0153145505	0.0132447868167	0.0189302293333	0.022626327	0.0188263318333
a	0.499601658889	0.381281684111	0.0334914545	0.0187061336056	0.0218315904444	0.0233917963333	0.0216956896111
v	0.23417474163	0.547182428037	0.0688326815	0.0362843605352	0.0375897744815	0.0385102031111	0.0374257532037
o	0.0988339535433	0.499654209346	0.194882607167	0.0543614235117	0.0507053414938	0.051267031037	0.0502953827346
r	0.0515293455144	0.430720813115	0.332873845722	0.0525938231706	0.0442322758313	0.0446583793457	0.0433914559115
à	0.0455827565048	0.387576234372	0.382963031907	0.0546487530569	0.0437379482771	0.0465227607819	0.0389684869705
s	0.0429079444016	0.394914898124	0.388824047302	0.055921251019	0.0399729510924	0.0441595899273	0.0332993536568
o	0.0154055004072	0.314291104375	0.453209502434	0.132094583673	0.0309087666975	0.0302042023091	0.0238863755523
o	0.00528222759573	0.115728537225	0.429152950811	0.351357281224	0.0420764945658	0.0289547754364	0.0274477721841
s	0.00187284810191	0.039941470475	0.287102076937	0.556042680408	0.0528127348553	0.0316650541455	0.0305632150614
s	0.00099907197397	0.0230997027917	0.252825112312	0.549354753469	0.0697856082851	0.0533903837152	0.0505454220205
o	0.000804384741323	0.0180301048972	0.204637879437	0.46117466449	0.136571319428	0.0809028145717	0.0978788606735
m	0.000854904673774	0.00763617389907	0.103140973479	0.334625078163	0.197034816476	0.231631924857	0.125076143558
ì	0.00249276355792	0.0139165625997	0.063340489493	0.180184971054	0.333334172159	0.304476144952	0.102254884519
k	0.00311548538597	0.0162805192666	0.0567868801643	0.167463722018	0.44892768072	0.238985024984	0.0684406628397
a	0.00171574476199	0.00678097998887	0.0431304190548	0.172766130673	0.50288987024	0.210031661661	0.0626851722799
m	0.001686231954	0.00377494216296	0.0291527791183	0.102406433058	0.42245542008	0.308470553887	0.13205363076
è	0.00284252938467	0.00414774838765	0.0171809984728	0.0504261595193	0.30729841336	0.463672921296	0.154431203587
r	0.00246012949489	0.00352303002922	0.0129057235243	0.0322306192731	0.26234971112	0.604053770432	0.082476981529
i	0.00132397953163	0.00148441562307	0.00479731677477	0.0147406118577	0.142965630373	0.656280336811	0.178407680843
</S>	0.00113966526581	0.00114046288154	0.00288567273738	0.0102036534289	0.0961159101865	0.587683718405	0.300830890422
