 	i	bambini	non	si	vestono	da	soli	</S>
t	0.7958481	0.1006197225	0.0158666245	0.019930825	0.013692923	0.0171001705	0.0175821305	0.0193595485
a	0.615952333333	0.2546553975	0.0217617478333	0.0218641723333	0.018424201	0.0221743088333	0.0222824528333	0.0228854098333
p	0.344626311111	0.517258609167	0.0205402926111	0.0198984374111	0.0173879604	0.0271345329444	0.0263619676111	0.0267918726111
e	0.232373273704	0.572933359722	0.037287316537	0.0295861107704	0.0237248135333	0.0353090949815	0.034228667537	0.034557323537
t	0.167794581901	0.607024776574	0.0430820183123	0.0331500265901	0.0256880179778	0.0391909403272	0.041661497179	0.0424081405123
ì	0.110375184634	0.676617908858	0.0427565839041	0.0186930001967	0.0115974277926	0.0464125137757	0.0462497597263	0.0472976185041
a	0.0923555405447	0.429788672286	0.245569947968	0.0832149517322	0.0143107082642	0.0475138305919	0.0435225205754	0.043723779168
e	0.0469397924482	0.154550846562	0.472643532656	0.214224917244	0.0213706537547	0.0313546691973	0.0297840798585	0.029131459056
n	0.0182940247494	0.0532447582207	0.415637497552	0.375363052415	0.0177444115849	0.0228469400658	0.0385523072862	0.0583169976853
i	0.00918611981647	0.0192764719136	0.311108019184	0.495935150805	0.0390696958616	0.0187622940219	0.0404142524287	0.0662479962284
n	0.00493769420549	0.00753837197787	0.320785839728	0.466309363602	0.0557006319539	0.023680035674	0.0535466508096	0.0675013990761
d	0.00242606603516	0.00678808239262	0.243011586576	0.312611467867	0.0367882979846	0.0829223612247	0.128816543603	0.186635579692
ì	0.00341413547839	0.00888904779754	0.121894012192	0.176287984289	0.175668576662	0.152619950408	0.168871834534	0.192354479564
n	0.00359228885946	0.00745001129918	0.103960257397	0.239969063096	0.246739445554	0.145134536803	0.163363274845	0.089791140188
n	0.00298832311982	0.00596063046639	0.0843190834657	0.273129594365	0.189360241851	0.191764608934	0.187319014948	0.065158498396
o	0.00290698427327	0.00469233835546	0.0368116835886	0.137690199455	0.213414477284	0.347380642978	0.208437734983	0.0486659224653
t	0.00120829677309	0.00235975578515	0.0146515294962	0.0483191512517	0.152556868095	0.368316870993	0.351652901661	0.0609346008218
t	0.000517410796363	0.00166370269505	0.00574194983207	0.0187298686839	0.0643649650317	0.416667596998	0.414511503887	0.0778030049406
e	0.000452267455454	0.00194909369835	0.00359361347736	0.0086219770613	0.0600927716772	0.555637365666	0.290771111296	0.0788818263135
m	0.000409838801818	0.0150789557328	0.00513844405912	0.0078144356871	0.0643399082257	0.461519161889	0.282854353765	0.162844920104
a	0.000402244737273	0.0187978163243	0.00888327818637	0.0153036215624	0.100227953742	0.358308497296	0.294806074588	0.203270496701
n	0.000380082279091	0.0113333595214	0.00874982276212	0.0175616568541	0.105446207247	0.301860719099	0.284827614863	0.269840492234
e	0.00037157577303	0.00879080350713	0.00560002262071	0.0175450762847	0.0514195590823	0.183132228033	0.236940951621	0.496199744078
c	0.000483788904343	0.0240128625024	0.00482660187357	0.0148923616949	0.0310144348608	0.114966154344	0.13081311954	0.678990671359
h	0.000352722138114	0.0291448930841	0.00321155065786	0.0063392352083	0.0141369328069	0.0658173591147	0.0798732055133	0.801124080453
à	0.000174205596038	0.0107804401447	0.00144870981929	0.00334908511277	0.0053981595223	0.0478601440382	0.0736389218378	0.857350306818
t	0.000130166425346	0.00459711188157	0.00164224210643	0.00385983383759	0.0033433565741	0.0404540060127	0.0592484886126	0.886724835606
u	0.000172375058449	0.00181118834386	0.00155365028214	0.00363833451253	0.0024482690247	0.0222664090042	0.0571630008709	0.910946798535
</S>	0.000222640254224	0.00103008829693	0.00101967811107	0.00289669640626	0.00163967751235	0.0198117880021	0.0718025004355	0.901576899267
